model_name,model_type,target_used,evaluation_scale,mae,rmse,r2,mape,median_ae,max_error,train_time_sec,predict_time_sec
CatBoost,gradient_boosting,target_price,target_price,3.3708874265773,5.482668796037199,0.8870056031750053,0.3001381413148527,2.0150165645686773,36.62053178264939,2.786762700008694,0.007299599994439632
LightGBM,gradient_boosting,target_price,target_price,3.2903954452907707,5.498080284880838,0.8863694679427716,0.28165848495817153,1.8932505030758713,39.60957586807036,2.3375453999615274,0.015974200039636344
LightGBM,gradient_boosting,log_target_price,target_price,3.2534667368335852,5.529972729464496,0.8850473824479749,0.2626856423207473,1.8255332293339102,40.91059625785978,2.63720190001186,0.01491389999864623
Random Forest,tree_ensemble,target_price,target_price,3.408452962570801,5.687029791255559,0.8784251080571819,0.30213442034677845,1.9347377146927138,46.85132222222222,2.7781575999688357,0.13520560000324622
CatBoost,gradient_boosting,log_target_price,target_price,3.336972207129124,5.740718825939275,0.8761187902110085,0.2620698288739145,1.8085735454958645,43.01014415070941,2.1606019999599084,0.00396340002771467
Random Forest,tree_ensemble,log_target_price,target_price,3.413371326863326,5.845638210711046,0.8715492181732418,0.2830307412127657,1.877833321082547,49.382765474376654,2.452041000011377,0.14412150002317503
Extra Trees,tree_ensemble,target_price,target_price,3.544157580436593,5.938560212216959,0.8674330653760204,0.3094918120127138,2.042857124999979,61.297253333333344,2.7481142000178806,0.14529999997466803
Extra Trees,tree_ensemble,log_target_price,target_price,3.5166026267846187,6.03166346014768,0.8632437796405956,0.29359335731049513,1.9809780884794272,62.75492111053889,2.7023065999965183,0.16724470001645386
Linear Regression,linear,log_target_price,target_price,4.073571364352324,6.926038688234564,0.819680492739666,0.3190565431178264,2.1951211370922326,48.64591278742033,1.0182877999613993,0.022614800021983683
Lasso,linear,log_target_price,target_price,4.080703650824235,6.942537520305167,0.8188203748807095,0.31961241459317674,2.185214410781989,50.27171681033984,1.2140715999994427,0.01325739995809272
ElasticNet,linear,log_target_price,target_price,4.080683713166899,6.943652016400493,0.8187622001307021,0.3193969989722479,2.163436620231507,50.0881181597464,0.5905313999974169,0.0031831000233069062
Ridge,linear,log_target_price,target_price,4.08681591563627,6.960178250277927,0.8178984637001014,0.3192540433275852,2.179749505674,50.029822028530205,0.08031760004814714,0.006604700000025332
ElasticNet,linear,target_price,target_price,4.718709847403415,7.924643994647344,0.7639345616401072,0.4257758104923688,2.805101381259148,73.81746753397354,58.282635399955325,0.006382000050507486
Ridge,linear,target_price,target_price,4.720131175851444,7.9248626679770675,0.7639215334390439,0.4259545165228811,2.80713279482016,73.81246434028606,0.12828499998431653,0.009540799946989864
Lasso,linear,target_price,target_price,4.719685129824713,7.925033700358786,0.7639113433575739,0.42586999525761193,2.814036163098431,73.8232649001205,5.222771400003694,0.003595600021071732
Linear Regression,linear,target_price,target_price,4.724131668348905,7.933391687972587,0.763413107853351,0.427434405901031,2.8197342304371853,73.9940938945628,0.8037779000005685,0.011531799973454326
