feature,importance,model_name,target_used,importance_type,abs_importance
ram_level,21.31820672000042,CatBoost_target,price,feature_importance,21.31820672000042
warranty_encoded,14.739172856168228,CatBoost_target,price,feature_importance,14.739172856168228
condition_score,11.628043485745568,CatBoost_target,price,feature_importance,11.628043485745568
storage_level,10.61956657408024,CatBoost_target,price,feature_importance,10.61956657408024
cpu_tier_encoded,8.90792972361901,CatBoost_target,price,feature_importance,8.90792972361901
cpu_family_ord_filled,6.9683723901218215,CatBoost_target,price,feature_importance,6.9683723901218215
gpu_tier_ord_filled,3.756370981755762,CatBoost_target,price,feature_importance,3.756370981755762
cpu_intel_generation_ord,3.5492239841565127,CatBoost_target,price,feature_importance,3.5492239841565127
cpu_family_group_Apple Silicon,2.7451318543895002,CatBoost_target,price,feature_importance,2.7451318543895002
cpu_suffix_power_ord_filled,2.1769928714435687,CatBoost_target,price,feature_importance,2.1769928714435687
screen_size_level,2.0559992063342163,CatBoost_target,price,feature_importance,2.0559992063342163
cpu_brand_Apple,1.5896807043983716,CatBoost_target,price,feature_importance,1.5896807043983716
gpu_type_Dedicated,1.0857777059613016,CatBoost_target,price,feature_importance,1.0857777059613016
cpu_brand_Intel,0.9022073437598128,CatBoost_target,price,feature_importance,0.9022073437598128
cpu_family_group_Intel Core Ultra,0.891344372794756,CatBoost_target,price,feature_importance,0.891344372794756
brand_Apple,0.6966369520348338,CatBoost_target,price,feature_importance,0.6966369520348338
gpu_type_Integrated,0.6773382250682891,CatBoost_target,price,feature_importance,0.6773382250682891
no_info_cpu_tier,0.4823562358933936,CatBoost_target,price,feature_importance,0.4823562358933936
brand_Microsoft,0.4529447804367442,CatBoost_target,price,feature_importance,0.4529447804367442
brand_Lenovo,0.4520108711862686,CatBoost_target,price,feature_importance,0.4520108711862686
brand_Dell,0.4309757674065602,CatBoost_target,price,feature_importance,0.4309757674065602
storage_hdd,0.38326899076783133,CatBoost_target,price,feature_importance,0.38326899076783133
cpu_family_group_Intel Core i,0.3696217695430769,CatBoost_target,price,feature_importance,0.3696217695430769
cpu_amd_generation_ord,0.36030324543596987,CatBoost_target,price,feature_importance,0.36030324543596987
brand_ASUS,0.3198048965202799,CatBoost_target,price,feature_importance,0.3198048965202799
brand_HP,0.3042018623734677,CatBoost_target,price,feature_importance,0.3042018623734677
gpu_type_Missing_Info,0.2876447665185045,CatBoost_target,price,feature_importance,0.2876447665185045
cpu_family_group_AMD Ryzen,0.20480641958296683,CatBoost_target,price,feature_importance,0.20480641958296683
brand_Acer,0.18885729271752874,CatBoost_target,price,feature_importance,0.18885729271752874
brand_LG,0.13818395682226142,CatBoost_target,price,feature_importance,0.13818395682226142
ram_missing,0.12929995307263595,CatBoost_target,price,feature_importance,0.12929995307263595
model_Legion 5,0.11540164459680646,CatBoost_target,price,feature_importance,0.11540164459680646
cpu_apple_core_spec,0.09016311539890468,CatBoost_target,price,feature_importance,0.09016311539890468
no_info_gpu,0.0864606347801339,CatBoost_target,price,feature_importance,0.0864606347801339
no_info_model,0.08216719946672965,CatBoost_target,price,feature_importance,0.08216719946672965
brand_MSI,0.07651166113892655,CatBoost_target,price,feature_importance,0.07651166113892655
cpu_brand_Other,0.06078486122444607,CatBoost_target,price,feature_importance,0.06078486122444607
model_MacBook Pro,0.06048970774551491,CatBoost_target,price,feature_importance,0.06048970774551491
storage_missing,0.05565595068059359,CatBoost_target,price,feature_importance,0.05565595068059359
brand_Other,0.050296814485144885,CatBoost_target,price,feature_importance,0.050296814485144885
model_XPS 13,0.04954151913480632,CatBoost_target,price,feature_importance,0.04954151913480632
screen_missing,0.04927905410115295,CatBoost_target,price,feature_importance,0.04927905410115295
model_Other,0.0411697374425194,CatBoost_target,price,feature_importance,0.0411697374425194
cpu_brand_AMD,0.03956761311108019,CatBoost_target,price,feature_importance,0.03956761311108019
cpu_family_group_Intel Low End,0.039294657358070244,CatBoost_target,price,feature_importance,0.039294657358070244
no_info_storage,0.037893209615204725,CatBoost_target,price,feature_importance,0.037893209615204725
brand_is_rare,0.03327362222288496,CatBoost_target,price,feature_importance,0.03327362222288496
no_info_brand,0.03230143007084041,CatBoost_target,price,feature_importance,0.03230143007084041
cpu_brand_Qualcomm,0.02582274531919182,CatBoost_target,price,feature_importance,0.02582274531919182
model_Precision,0.024135387511800614,CatBoost_target,price,feature_importance,0.024135387511800614
model_MacBook Air M1,0.022326934379681373,CatBoost_target,price,feature_importance,0.022326934379681373
model_Legion,0.019586408116374122,CatBoost_target,price,feature_importance,0.019586408116374122
gpu_type_Apple SoC,0.019556178069013736,CatBoost_target,price,feature_importance,0.019556178069013736
no_info_cpu_brand,0.014894941509835051,CatBoost_target,price,feature_importance,0.014894941509835051
model_Latitude E Series,0.013008072292871974,CatBoost_target,price,feature_importance,0.013008072292871974
model_ThinkPad,0.01296843913357867,CatBoost_target,price,feature_importance,0.01296843913357867
model_ROG Strix,0.011874555572158496,CatBoost_target,price,feature_importance,0.011874555572158496
brand_Gigabyte,0.007901438273884207,CatBoost_target,price,feature_importance,0.007901438273884207
