feature,importance,model_name,target_used,importance_type,abs_importance
gpu_tier_ord_filled,7.9100397239073015,ElasticNet_target,price,coefficient,7.9100397239073015
gpu_type_Dedicated,-4.207265871782987,ElasticNet_target,price,coefficient,4.207265871782987
ram_level,4.044282670016057,ElasticNet_target,price,coefficient,4.044282670016057
cpu_family_ord_filled,3.9736347661837703,ElasticNet_target,price,coefficient,3.9736347661837703
storage_level,3.636909722608513,ElasticNet_target,price,coefficient,3.636909722608513
cpu_family_group_Intel Core i,-3.484220243504898,ElasticNet_target,price,coefficient,3.484220243504898
no_info_cpu_tier,3.210902134518854,ElasticNet_target,price,coefficient,3.210902134518854
cpu_tier_encoded,2.82754949542796,ElasticNet_target,price,coefficient,2.82754949542796
condition_score,2.6853184080264336,ElasticNet_target,price,coefficient,2.6853184080264336
ram_missing,2.1333510551380663,ElasticNet_target,price,coefficient,2.1333510551380663
cpu_family_group_AMD Ryzen,-1.938401799583732,ElasticNet_target,price,coefficient,1.938401799583732
no_info_gpu,1.700263904401345,ElasticNet_target,price,coefficient,1.700263904401345
gpu_type_Missing_Info,1.6977321788435675,ElasticNet_target,price,coefficient,1.6977321788435675
storage_missing,1.6640072599505134,ElasticNet_target,price,coefficient,1.6640072599505134
warranty_encoded,1.5114614676904443,ElasticNet_target,price,coefficient,1.5114614676904443
cpu_suffix_power_ord_filled,1.2021290789557884,ElasticNet_target,price,coefficient,1.2021290789557884
gpu_type_Integrated,0.9022148982375492,ElasticNet_target,price,coefficient,0.9022148982375492
cpu_amd_generation_ord,-0.7227629756423277,ElasticNet_target,price,coefficient,0.7227629756423277
storage_ssd,0.7030811602110566,ElasticNet_target,price,coefficient,0.7030811602110566
cpu_apple_core_spec,0.6973675580770385,ElasticNet_target,price,coefficient,0.6973675580770385
model_MacBook Air M1,-0.6927893775792314,ElasticNet_target,price,coefficient,0.6927893775792314
no_info_storage,0.6796893029009388,ElasticNet_target,price,coefficient,0.6796893029009388
brand_Apple,0.677639541059415,ElasticNet_target,price,coefficient,0.677639541059415
cpu_brand_Apple,0.6027598302339422,ElasticNet_target,price,coefficient,0.6027598302339422
model_MacBook Pro,-0.5778343639835238,ElasticNet_target,price,coefficient,0.5778343639835238
model_Legion 5,0.5570815955424473,ElasticNet_target,price,coefficient,0.5570815955424473
cpu_brand_Qualcomm,0.5105816430403587,ElasticNet_target,price,coefficient,0.5105816430403587
brand_Microsoft,0.46324313716931814,ElasticNet_target,price,coefficient,0.46324313716931814
brand_MSI,0.4431539718071798,ElasticNet_target,price,coefficient,0.4431539718071798
brand_Gigabyte,-0.42638975588190936,ElasticNet_target,price,coefficient,0.42638975588190936
brand_Lenovo,-0.4055886608776555,ElasticNet_target,price,coefficient,0.4055886608776555
brand_Dell,-0.4023438378788111,ElasticNet_target,price,coefficient,0.4023438378788111
model_MacBook Pro M1,-0.3932850112726089,ElasticNet_target,price,coefficient,0.3932850112726089
cpu_intel_generation_ord,0.3524352973542,ElasticNet_target,price,coefficient,0.3524352973542
model_MacBook Air M2,-0.34760759418265275,ElasticNet_target,price,coefficient,0.34760759418265275
brand_LG,0.33987803507579795,ElasticNet_target,price,coefficient,0.33987803507579795
brand_ASUS,0.3087726948836304,ElasticNet_target,price,coefficient,0.3087726948836304
model_Macbook air m4,-0.29543869459234784,ElasticNet_target,price,coefficient,0.29543869459234784
model_Legion,0.29076870005501404,ElasticNet_target,price,coefficient,0.29076870005501404
screen_missing,-0.2792078897893928,ElasticNet_target,price,coefficient,0.2792078897893928
model_Gaming Thin GF,-0.26061669112559294,ElasticNet_target,price,coefficient,0.26061669112559294
cpu_brand_Other,-0.24947813640714517,ElasticNet_target,price,coefficient,0.24947813640714517
cpu_qualcomm_snapdragon_spec,-0.24944827390572485,ElasticNet_target,price,coefficient,0.24944827390572485
gpu_type_Apple SoC,0.24942007562054838,ElasticNet_target,price,coefficient,0.24942007562054838
no_info_cpu_brand,-0.22862487139760324,ElasticNet_target,price,coefficient,0.22862487139760324
brand_Acer,-0.21722861433309476,ElasticNet_target,price,coefficient,0.21722861433309476
model_IdeaPad,0.21650753244286616,ElasticNet_target,price,coefficient,0.21650753244286616
cpu_family_group_Intel Low End,0.19707911875243325,ElasticNet_target,price,coefficient,0.19707911875243325
model_Precision,-0.18138374914693298,ElasticNet_target,price,coefficient,0.18138374914693298
model_XPS 13,0.17548625578649069,ElasticNet_target,price,coefficient,0.17548625578649069
cpu_brand_Intel,-0.17363289322432418,ElasticNet_target,price,coefficient,0.17363289322432418
cpu_family_group_Apple Silicon,0.17027718644572165,ElasticNet_target,price,coefficient,0.17027718644572165
screen_size_level,0.1624619469919641,ElasticNet_target,price,coefficient,0.1624619469919641
model_Aspire,0.15653804707043026,ElasticNet_target,price,coefficient,0.15653804707043026
model_TUF Gaming,-0.15207541243076436,ElasticNet_target,price,coefficient,0.15207541243076436
model_MacBook Pro M2,-0.1480163112803197,ElasticNet_target,price,coefficient,0.1480163112803197
model_Other,0.1476414854385098,ElasticNet_target,price,coefficient,0.1476414854385098
model_ROG Strix,-0.14686274928150708,ElasticNet_target,price,coefficient,0.14686274928150708
no_info_model,0.1382743849486816,ElasticNet_target,price,coefficient,0.1382743849486816
model_Inspiron,0.1287896351870047,ElasticNet_target,price,coefficient,0.1287896351870047
cpu_brand_Microsoft SQ,0.12176967505525893,ElasticNet_target,price,coefficient,0.12176967505525893
model_Vostro,0.12152710985880141,ElasticNet_target,price,coefficient,0.12152710985880141
model_Vivobook 15,-0.10503613978254904,ElasticNet_target,price,coefficient,0.10503613978254904
storage_hdd,-0.1001812294281466,ElasticNet_target,price,coefficient,0.1001812294281466
cpu_family_group_Intel Core Ultra,-0.09183988913690373,ElasticNet_target,price,coefficient,0.09183988913690373
model_Nitro 5,0.07814348092486775,ElasticNet_target,price,coefficient,0.07814348092486775
model_Latitude 14 7000,-0.07697880570077985,ElasticNet_target,price,coefficient,0.07697880570077985
brand_Sony,-0.07412675519213445,ElasticNet_target,price,coefficient,0.07412675519213445
model_ThinkPad X1 Carbon,0.07043891121087678,ElasticNet_target,price,coefficient,0.07043891121087678
brand_Other,0.06848108196850197,ElasticNet_target,price,coefficient,0.06848108196850197
no_info_brand,0.06794588431730252,ElasticNet_target,price,coefficient,0.06794588431730252
