feature,importance,model_name,target_used,importance_type,abs_importance
condition_score,0.19114616901066067,Extra Trees_log_target,price,feature_importance,0.19114616901066067
ram_level,0.18443194113591432,Extra Trees_log_target,price,feature_importance,0.18443194113591432
storage_level,0.14276741019194403,Extra Trees_log_target,price,feature_importance,0.14276741019194403
warranty_encoded,0.10138026738219952,Extra Trees_log_target,price,feature_importance,0.10138026738219952
cpu_family_ord_filled,0.04309701283464404,Extra Trees_log_target,price,feature_importance,0.04309701283464404
cpu_tier_encoded,0.039367101281407996,Extra Trees_log_target,price,feature_importance,0.039367101281407996
cpu_family_group_Apple Silicon,0.029798275375785294,Extra Trees_log_target,price,feature_importance,0.029798275375785294
cpu_suffix_power_ord_filled,0.023207123496541446,Extra Trees_log_target,price,feature_importance,0.023207123496541446
cpu_intel_generation_ord,0.023140030527136323,Extra Trees_log_target,price,feature_importance,0.023140030527136323
gpu_type_Dedicated,0.02062734878394503,Extra Trees_log_target,price,feature_importance,0.02062734878394503
gpu_tier_ord_filled,0.016406301760764925,Extra Trees_log_target,price,feature_importance,0.016406301760764925
cpu_brand_Apple,0.015192488853685543,Extra Trees_log_target,price,feature_importance,0.015192488853685543
storage_hdd,0.015155090450958966,Extra Trees_log_target,price,feature_importance,0.015155090450958966
cpu_brand_Intel,0.01397778742483701,Extra Trees_log_target,price,feature_importance,0.01397778742483701
screen_size_level,0.01185365716114998,Extra Trees_log_target,price,feature_importance,0.01185365716114998
brand_Apple,0.010706307507521497,Extra Trees_log_target,price,feature_importance,0.010706307507521497
no_info_cpu_tier,0.009942026062292199,Extra Trees_log_target,price,feature_importance,0.009942026062292199
brand_Dell,0.006284671755759847,Extra Trees_log_target,price,feature_importance,0.006284671755759847
brand_Lenovo,0.006229631632265342,Extra Trees_log_target,price,feature_importance,0.006229631632265342
cpu_family_group_Intel Core i,0.005081455870134501,Extra Trees_log_target,price,feature_importance,0.005081455870134501
screen_missing,0.004648745172914152,Extra Trees_log_target,price,feature_importance,0.004648745172914152
gpu_type_Integrated,0.00446476878918116,Extra Trees_log_target,price,feature_importance,0.00446476878918116
brand_HP,0.004357375495732894,Extra Trees_log_target,price,feature_importance,0.004357375495732894
brand_ASUS,0.0039581045271231425,Extra Trees_log_target,price,feature_importance,0.0039581045271231425
ram_missing,0.003858146911998755,Extra Trees_log_target,price,feature_importance,0.003858146911998755
brand_Microsoft,0.0038123874031560966,Extra Trees_log_target,price,feature_importance,0.0038123874031560966
storage_ssd,0.0035904283033912354,Extra Trees_log_target,price,feature_importance,0.0035904283033912354
cpu_brand_AMD,0.0035133439769090306,Extra Trees_log_target,price,feature_importance,0.0035133439769090306
cpu_family_group_Intel Core Ultra,0.00307384441133558,Extra Trees_log_target,price,feature_importance,0.00307384441133558
brand_Acer,0.002853178839112597,Extra Trees_log_target,price,feature_importance,0.002853178839112597
cpu_family_group_Intel Low End,0.00256848057449923,Extra Trees_log_target,price,feature_importance,0.00256848057449923
model_Other,0.0025354921049742236,Extra Trees_log_target,price,feature_importance,0.0025354921049742236
no_info_storage,0.002458630049565726,Extra Trees_log_target,price,feature_importance,0.002458630049565726
no_info_model,0.002438888556565622,Extra Trees_log_target,price,feature_importance,0.002438888556565622
brand_MSI,0.0023992328073729487,Extra Trees_log_target,price,feature_importance,0.0023992328073729487
storage_missing,0.0021009722650604714,Extra Trees_log_target,price,feature_importance,0.0021009722650604714
no_info_cpu_brand,0.002092353091946496,Extra Trees_log_target,price,feature_importance,0.002092353091946496
model_MacBook Pro,0.0020635657457051767,Extra Trees_log_target,price,feature_importance,0.0020635657457051767
model_is_rare,0.0020562695084891066,Extra Trees_log_target,price,feature_importance,0.0020562695084891066
no_info_gpu,0.0020556621062374934,Extra Trees_log_target,price,feature_importance,0.0020556621062374934
gpu_type_Missing_Info,0.0020382800804829597,Extra Trees_log_target,price,feature_importance,0.0020382800804829597
model_Latitude E Series,0.0017293703300564692,Extra Trees_log_target,price,feature_importance,0.0017293703300564692
model_MacBook Air M1,0.0015951534494553694,Extra Trees_log_target,price,feature_importance,0.0015951534494553694
model_Latitude,0.0015300433496658321,Extra Trees_log_target,price,feature_importance,0.0015300433496658321
cpu_brand_Other,0.0015174813066340322,Extra Trees_log_target,price,feature_importance,0.0015174813066340322
brand_is_rare,0.0015117757212896475,Extra Trees_log_target,price,feature_importance,0.0015117757212896475
gpu_type_Apple SoC,0.0013327871853493103,Extra Trees_log_target,price,feature_importance,0.0013327871853493103
model_Precision,0.0013099024978155435,Extra Trees_log_target,price,feature_importance,0.0013099024978155435
cpu_amd_generation_ord,0.001281383270318591,Extra Trees_log_target,price,feature_importance,0.001281383270318591
cpu_family_group_AMD Ryzen,0.00127613184623945,Extra Trees_log_target,price,feature_importance,0.00127613184623945
brand_Other,0.0011755151113618148,Extra Trees_log_target,price,feature_importance,0.0011755151113618148
model_XPS 13,0.001124203248210702,Extra Trees_log_target,price,feature_importance,0.001124203248210702
model_Inspiron,0.0011096995484036962,Extra Trees_log_target,price,feature_importance,0.0011096995484036962
no_info_brand,0.0011018080694232995,Extra Trees_log_target,price,feature_importance,0.0011018080694232995
model_MacBook Air,0.001092452367776008,Extra Trees_log_target,price,feature_importance,0.001092452367776008
model_ThinkPad,0.0007309050597338569,Extra Trees_log_target,price,feature_importance,0.0007309050597338569
model_Vostro,0.0005991595477400502,Extra Trees_log_target,price,feature_importance,0.0005991595477400502
model_Nitro 5,0.0005903116926709693,Extra Trees_log_target,price,feature_importance,0.0005903116926709693
model_ProBook,0.0004928000788418536,Extra Trees_log_target,price,feature_importance,0.0004928000788418536
model_Pavilion 15,0.00046985887799974986,Extra Trees_log_target,price,feature_importance,0.00046985887799974986
model_Elitebook,0.0004444204271746175,Extra Trees_log_target,price,feature_importance,0.0004444204271746175
brand_LG,0.0004024832988456265,Extra Trees_log_target,price,feature_importance,0.0004024832988456265
model_Legion 5,0.000384375672276205,Extra Trees_log_target,price,feature_importance,0.000384375672276205
model_ThinkPad X1 Carbon,0.00038123614833298356,Extra Trees_log_target,price,feature_importance,0.00038123614833298356
cpu_brand_Qualcomm,0.0003631860045849269,Extra Trees_log_target,price,feature_importance,0.0003631860045849269
brand_Sony,0.0003561891408104662,Extra Trees_log_target,price,feature_importance,0.0003561891408104662
model_TUF Gaming,0.00034694659540517655,Extra Trees_log_target,price,feature_importance,0.00034694659540517655
model_IdeaPad,0.0003341708746223606,Extra Trees_log_target,price,feature_importance,0.0003341708746223606
model_TUF Gaming F15,0.0003297167687086602,Extra Trees_log_target,price,feature_importance,0.0003297167687086602
model_MacBook Pro M1,0.0002806556763294378,Extra Trees_log_target,price,feature_importance,0.0002806556763294378
model_X Series,0.00027455508355871773,Extra Trees_log_target,price,feature_importance,0.00027455508355871773
model_Aspire,0.00024399617857795157,Extra Trees_log_target,price,feature_importance,0.00024399617857795157
model_Gaming Thin GF,0.00024011544958837635,Extra Trees_log_target,price,feature_importance,0.00024011544958837635
model_ROG Strix,0.00022281848546388362,Extra Trees_log_target,price,feature_importance,0.00022281848546388362
cpu_apple_core_spec,0.0001896569191284495,Extra Trees_log_target,price,feature_importance,0.0001896569191284495
model_Macbook air m4,0.00014916903284359985,Extra Trees_log_target,price,feature_importance,0.00014916903284359985
model_Latitude 14 7000,0.00013808554122125879,Extra Trees_log_target,price,feature_importance,0.00013808554122125879
model_Vivobook 15,0.00010605299275678426,Extra Trees_log_target,price,feature_importance,0.00010605299275678426
model_Elitebook 800,9.819665108112728e-05,Extra Trees_log_target,price,feature_importance,9.819665108112728e-05
