feature,importance,model_name,target_used,importance_type,abs_importance
ram_level,0.20603860473998337,Extra Trees_target,price,feature_importance,0.20603860473998337
warranty_encoded,0.1638554528017579,Extra Trees_target,price,feature_importance,0.1638554528017579
cpu_tier_encoded,0.09639346512201014,Extra Trees_target,price,feature_importance,0.09639346512201014
condition_score,0.09593539742193981,Extra Trees_target,price,feature_importance,0.09593539742193981
storage_level,0.09423320792204058,Extra Trees_target,price,feature_importance,0.09423320792204058
cpu_family_ord_filled,0.08782286141711641,Extra Trees_target,price,feature_importance,0.08782286141711641
gpu_tier_ord_filled,0.028285032630424648,Extra Trees_target,price,feature_importance,0.028285032630424648
cpu_suffix_power_ord_filled,0.027276294034537345,Extra Trees_target,price,feature_importance,0.027276294034537345
cpu_family_group_Apple Silicon,0.020960402676952587,Extra Trees_target,price,feature_importance,0.020960402676952587
screen_size_level,0.01767626875953261,Extra Trees_target,price,feature_importance,0.01767626875953261
cpu_intel_generation_ord,0.017341072485552743,Extra Trees_target,price,feature_importance,0.017341072485552743
gpu_type_Dedicated,0.017034612955603826,Extra Trees_target,price,feature_importance,0.017034612955603826
brand_Lenovo,0.00986608053710582,Extra Trees_target,price,feature_importance,0.00986608053710582
cpu_family_group_Intel Core Ultra,0.008212850269230548,Extra Trees_target,price,feature_importance,0.008212850269230548
no_info_cpu_tier,0.00803324879432234,Extra Trees_target,price,feature_importance,0.00803324879432234
brand_Dell,0.007973617769238026,Extra Trees_target,price,feature_importance,0.007973617769238026
gpu_type_Apple SoC,0.007359984634029512,Extra Trees_target,price,feature_importance,0.007359984634029512
brand_HP,0.006942190313932012,Extra Trees_target,price,feature_importance,0.006942190313932012
cpu_brand_Apple,0.006930099417182141,Extra Trees_target,price,feature_importance,0.006930099417182141
gpu_type_Integrated,0.006768624429793935,Extra Trees_target,price,feature_importance,0.006768624429793935
brand_ASUS,0.004840189437631341,Extra Trees_target,price,feature_importance,0.004840189437631341
storage_hdd,0.004206282818928329,Extra Trees_target,price,feature_importance,0.004206282818928329
cpu_family_group_Intel Core i,0.004166466745043559,Extra Trees_target,price,feature_importance,0.004166466745043559
brand_Apple,0.0040266020610953985,Extra Trees_target,price,feature_importance,0.0040266020610953985
cpu_brand_Intel,0.0036046356403286366,Extra Trees_target,price,feature_importance,0.0036046356403286366
brand_MSI,0.0032899694257127947,Extra Trees_target,price,feature_importance,0.0032899694257127947
brand_Microsoft,0.002881701211540675,Extra Trees_target,price,feature_importance,0.002881701211540675
brand_Acer,0.0025874220361673987,Extra Trees_target,price,feature_importance,0.0025874220361673987
cpu_amd_generation_ord,0.0025651464259348012,Extra Trees_target,price,feature_importance,0.0025651464259348012
storage_ssd,0.0023357613725642754,Extra Trees_target,price,feature_importance,0.0023357613725642754
cpu_brand_AMD,0.0020369775886199385,Extra Trees_target,price,feature_importance,0.0020369775886199385
ram_missing,0.0019181923501233984,Extra Trees_target,price,feature_importance,0.0019181923501233984
cpu_family_group_AMD Ryzen,0.0016629790683171427,Extra Trees_target,price,feature_importance,0.0016629790683171427
gpu_type_Missing_Info,0.0016121171367865133,Extra Trees_target,price,feature_importance,0.0016121171367865133
no_info_gpu,0.0015057390042001934,Extra Trees_target,price,feature_importance,0.0015057390042001934
screen_missing,0.0014285429505428548,Extra Trees_target,price,feature_importance,0.0014285429505428548
cpu_brand_Other,0.0013271017836445924,Extra Trees_target,price,feature_importance,0.0013271017836445924
no_info_model,0.0012573130998456401,Extra Trees_target,price,feature_importance,0.0012573130998456401
model_Other,0.0012300465775078166,Extra Trees_target,price,feature_importance,0.0012300465775078166
no_info_cpu_brand,0.0011929777880720024,Extra Trees_target,price,feature_importance,0.0011929777880720024
cpu_apple_core_spec,0.0011914307826208868,Extra Trees_target,price,feature_importance,0.0011914307826208868
no_info_brand,0.0011620980253998548,Extra Trees_target,price,feature_importance,0.0011620980253998548
brand_Other,0.001161286258487179,Extra Trees_target,price,feature_importance,0.001161286258487179
model_is_rare,0.0011142604208446301,Extra Trees_target,price,feature_importance,0.0011142604208446301
no_info_storage,0.00107223458451857,Extra Trees_target,price,feature_importance,0.00107223458451857
model_MacBook Pro,0.000838431259448019,Extra Trees_target,price,feature_importance,0.000838431259448019
storage_missing,0.0007982959576781798,Extra Trees_target,price,feature_importance,0.0007982959576781798
brand_is_rare,0.0007313656477357485,Extra Trees_target,price,feature_importance,0.0007313656477357485
brand_LG,0.0007060294953121526,Extra Trees_target,price,feature_importance,0.0007060294953121526
model_Precision,0.0006873407451265248,Extra Trees_target,price,feature_importance,0.0006873407451265248
cpu_family_group_Intel Low End,0.0006389255004217045,Extra Trees_target,price,feature_importance,0.0006389255004217045
model_XPS 13,0.0005763657455583549,Extra Trees_target,price,feature_importance,0.0005763657455583549
cpu_brand_Qualcomm,0.0005241499622703015,Extra Trees_target,price,feature_importance,0.0005241499622703015
model_MacBook Air M1,0.0004888578117307409,Extra Trees_target,price,feature_importance,0.0004888578117307409
model_Legion 5,0.0003279850314737096,Extra Trees_target,price,feature_importance,0.0003279850314737096
model_Latitude,0.00025937134545924627,Extra Trees_target,price,feature_importance,0.00025937134545924627
model_Inspiron,0.0002236235458532171,Extra Trees_target,price,feature_importance,0.0002236235458532171
model_Macbook air m4,0.00021450392998677726,Extra Trees_target,price,feature_importance,0.00021450392998677726
brand_Gigabyte,0.00021111052597551336,Extra Trees_target,price,feature_importance,0.00021111052597551336
model_ThinkPad,0.0002063916843945344,Extra Trees_target,price,feature_importance,0.0002063916843945344
model_Nitro 5,0.00020518617698194881,Extra Trees_target,price,feature_importance,0.00020518617698194881
model_ThinkPad X1 Carbon,0.00019570592242670033,Extra Trees_target,price,feature_importance,0.00019570592242670033
model_MacBook Pro M1,0.00019160418304613056,Extra Trees_target,price,feature_importance,0.00019160418304613056
model_MacBook Air,0.00017213910777980724,Extra Trees_target,price,feature_importance,0.00017213910777980724
model_Elitebook,0.00016502305321590904,Extra Trees_target,price,feature_importance,0.00016502305321590904
cpu_qualcomm_snapdragon_spec,0.00016464424192029283,Extra Trees_target,price,feature_importance,0.00016464424192029283
model_ROG Strix,0.00015852020803275025,Extra Trees_target,price,feature_importance,0.00015852020803275025
model_Gaming Thin GF,0.0001419715506274503,Extra Trees_target,price,feature_importance,0.0001419715506274503
model_TUF Gaming F15,0.0001193031808824583,Extra Trees_target,price,feature_importance,0.0001193031808824583
model_Latitude E Series,0.00010923105364957393,Extra Trees_target,price,feature_importance,0.00010923105364957393
model_TUF Gaming,0.00010731824773664319,Extra Trees_target,price,feature_importance,0.00010731824773664319
model_IdeaPad,6.9434949788486e-05,Extra Trees_target,price,feature_importance,6.9434949788486e-05
model_ProBook,5.6884018351147424e-05,Extra Trees_target,price,feature_importance,5.6884018351147424e-05
cpu_brand_Microsoft SQ,5.212817380500729e-05,Extra Trees_target,price,feature_importance,5.212817380500729e-05
model_MacBook Pro M2,5.1288607214256145e-05,Extra Trees_target,price,feature_importance,5.1288607214256145e-05
model_Legion,4.698718075327509e-05,Extra Trees_target,price,feature_importance,4.698718075327509e-05
model_Pavilion 15,4.687885049342079e-05,Extra Trees_target,price,feature_importance,4.687885049342079e-05
model_Vostro,4.3212913933924585e-05,Extra Trees_target,price,feature_importance,4.3212913933924585e-05
model_Aspire,4.0863816018992725e-05,Extra Trees_target,price,feature_importance,4.0863816018992725e-05
model_Vivobook 15,2.1786688486885776e-05,Extra Trees_target,price,feature_importance,2.1786688486885776e-05
model_MacBook Air M2,2.146148257758607e-05,Extra Trees_target,price,feature_importance,2.146148257758607e-05
model_X Series,1.8029402127719923e-05,Extra Trees_target,price,feature_importance,1.8029402127719923e-05
brand_Sony,1.6058823803408832e-05,Extra Trees_target,price,feature_importance,1.6058823803408832e-05
model_Latitude 14 7000,1.5183502612358688e-05,Extra Trees_target,price,feature_importance,1.5183502612358688e-05
model_Elitebook 800,1.3338028214300964e-05,Extra Trees_target,price,feature_importance,1.3338028214300964e-05
brand_Toshiba,6.224720329972274e-06,Extra Trees_target,price,feature_importance,6.224720329972274e-06
