feature,importance,model_name,target_used,importance_type,abs_importance
ram_level,0.26156031427845366,Lasso_log_target,price,coefficient,0.26156031427845366
storage_level,0.230867216087868,Lasso_log_target,price,coefficient,0.230867216087868
condition_score,0.2048269714694265,Lasso_log_target,price,coefficient,0.2048269714694265
warranty_encoded,0.15515464676134808,Lasso_log_target,price,coefficient,0.15515464676134808
no_info_cpu_tier,0.13621595392158525,Lasso_log_target,price,coefficient,0.13621595392158525
ram_missing,0.12845540410265274,Lasso_log_target,price,coefficient,0.12845540410265274
cpu_family_ord_filled,0.12363030483346184,Lasso_log_target,price,coefficient,0.12363030483346184
cpu_tier_encoded,0.1050982900406033,Lasso_log_target,price,coefficient,0.1050982900406033
storage_missing,0.09315014373290752,Lasso_log_target,price,coefficient,0.09315014373290752
cpu_family_group_Intel Core i,-0.08985291821618821,Lasso_log_target,price,coefficient,0.08985291821618821
gpu_type_Dedicated,0.07416870097305933,Lasso_log_target,price,coefficient,0.07416870097305933
cpu_brand_Intel,-0.06331733373588318,Lasso_log_target,price,coefficient,0.06331733373588318
cpu_family_group_AMD Ryzen,-0.06297906445637683,Lasso_log_target,price,coefficient,0.06297906445637683
screen_missing,-0.05159496676962656,Lasso_log_target,price,coefficient,0.05159496676962656
storage_hdd,-0.04485795159255502,Lasso_log_target,price,coefficient,0.04485795159255502
brand_Apple,0.04194155394289328,Lasso_log_target,price,coefficient,0.04194155394289328
gpu_type_Apple SoC,-0.0395838580694433,Lasso_log_target,price,coefficient,0.0395838580694433
no_info_cpu_brand,-0.037501204327010505,Lasso_log_target,price,coefficient,0.037501204327010505
cpu_amd_generation_ord,-0.03706561099287311,Lasso_log_target,price,coefficient,0.03706561099287311
cpu_intel_generation_ord,0.037021123257663234,Lasso_log_target,price,coefficient,0.037021123257663234
brand_Microsoft,0.036854671166752014,Lasso_log_target,price,coefficient,0.036854671166752014
cpu_family_group_Apple Silicon,0.03629707542541557,Lasso_log_target,price,coefficient,0.03629707542541557
model_Latitude E Series,-0.034225577968666106,Lasso_log_target,price,coefficient,0.034225577968666106
brand_Sony,-0.029233728759111753,Lasso_log_target,price,coefficient,0.029233728759111753
model_Legion 5,0.02883606233030408,Lasso_log_target,price,coefficient,0.02883606233030408
cpu_family_group_Intel Core Ultra,-0.02828990740292681,Lasso_log_target,price,coefficient,0.02828990740292681
cpu_brand_Apple,0.022729885514624022,Lasso_log_target,price,coefficient,0.022729885514624022
brand_Toshiba,-0.021297417868026216,Lasso_log_target,price,coefficient,0.021297417868026216
model_XPS 13,0.021284929123901185,Lasso_log_target,price,coefficient,0.021284929123901185
no_info_storage,0.020967083209127744,Lasso_log_target,price,coefficient,0.020967083209127744
model_X Series,-0.020862507222733105,Lasso_log_target,price,coefficient,0.020862507222733105
cpu_brand_Other,-0.02024162380622769,Lasso_log_target,price,coefficient,0.02024162380622769
brand_Acer,-0.019839491175059395,Lasso_log_target,price,coefficient,0.019839491175059395
no_info_gpu,-0.0184051009996184,Lasso_log_target,price,coefficient,0.0184051009996184
brand_Dell,-0.018131714222208183,Lasso_log_target,price,coefficient,0.018131714222208183
model_Legion,0.016765331337577936,Lasso_log_target,price,coefficient,0.016765331337577936
model_Nitro 5,0.015606856358589164,Lasso_log_target,price,coefficient,0.015606856358589164
brand_LG,0.014753522735223571,Lasso_log_target,price,coefficient,0.014753522735223571
model_Inspiron,-0.01456364127692724,Lasso_log_target,price,coefficient,0.01456364127692724
model_ThinkPad X1 Carbon,0.011948891265000764,Lasso_log_target,price,coefficient,0.011948891265000764
model_MacBook Pro,-0.011080127838009768,Lasso_log_target,price,coefficient,0.011080127838009768
model_MacBook Air,-0.010804761299855142,Lasso_log_target,price,coefficient,0.010804761299855142
cpu_family_group_Intel Low End,-0.009946861412239319,Lasso_log_target,price,coefficient,0.009946861412239319
model_TUF Gaming F15,0.009756405171918843,Lasso_log_target,price,coefficient,0.009756405171918843
model_ThinkPad,-0.009257499072058546,Lasso_log_target,price,coefficient,0.009257499072058546
model_ProBook,-0.009226430272976633,Lasso_log_target,price,coefficient,0.009226430272976633
model_MacBook Air M1,-0.009184196777986197,Lasso_log_target,price,coefficient,0.009184196777986197
model_Precision,0.009118415008491145,Lasso_log_target,price,coefficient,0.009118415008491145
storage_ssd,0.00827367808995198,Lasso_log_target,price,coefficient,0.00827367808995198
model_MacBook Air M2,0.00814542521427907,Lasso_log_target,price,coefficient,0.00814542521427907
cpu_brand_AMD,0.007621177787985279,Lasso_log_target,price,coefficient,0.007621177787985279
model_MacBook Pro M2,0.007521288598160881,Lasso_log_target,price,coefficient,0.007521288598160881
brand_Gigabyte,-0.0073272687018028524,Lasso_log_target,price,coefficient,0.0073272687018028524
model_Vostro,-0.006590422545078478,Lasso_log_target,price,coefficient,0.006590422545078478
model_Macbook air m4,0.006313462054130638,Lasso_log_target,price,coefficient,0.006313462054130638
brand_Other,0.006000624135667478,Lasso_log_target,price,coefficient,0.006000624135667478
model_IdeaPad,-0.005618253768791023,Lasso_log_target,price,coefficient,0.005618253768791023
model_Aspire,-0.005605119509686996,Lasso_log_target,price,coefficient,0.005605119509686996
brand_Lenovo,-0.005523319955646512,Lasso_log_target,price,coefficient,0.005523319955646512
model_Other,0.0040113245332588175,Lasso_log_target,price,coefficient,0.0040113245332588175
brand_MSI,0.0034253240294168635,Lasso_log_target,price,coefficient,0.0034253240294168635
brand_ASUS,0.00340433601116217,Lasso_log_target,price,coefficient,0.00340433601116217
cpu_apple_core_spec,-0.0031871913742906603,Lasso_log_target,price,coefficient,0.0031871913742906603
cpu_brand_Microsoft SQ,0.002309476907253846,Lasso_log_target,price,coefficient,0.002309476907253846
model_TUF Gaming,-0.0023068268407473356,Lasso_log_target,price,coefficient,0.0023068268407473356
cpu_qualcomm_snapdragon_spec,-0.002000070871804876,Lasso_log_target,price,coefficient,0.002000070871804876
screen_size_level,0.0016768185372379755,Lasso_log_target,price,coefficient,0.0016768185372379755
model_Latitude 14 7000,0.001261536968067771,Lasso_log_target,price,coefficient,0.001261536968067771
model_Vivobook 15,0.00120915811909546,Lasso_log_target,price,coefficient,0.00120915811909546
model_Elitebook 800,0.0007862423688939073,Lasso_log_target,price,coefficient,0.0007862423688939073
model_Pavilion 15,-0.0005072726770891608,Lasso_log_target,price,coefficient,0.0005072726770891608
no_info_brand,2.2402501077790605e-05,Lasso_log_target,price,coefficient,2.2402501077790605e-05
gpu_tier_ord_filled,-0.0,Lasso_log_target,price,coefficient,0.0
gpu_type_Integrated,0.0,Lasso_log_target,price,coefficient,0.0
cpu_suffix_power_ord_filled,-0.0,Lasso_log_target,price,coefficient,0.0
brand_is_rare,-0.0,Lasso_log_target,price,coefficient,0.0
cpu_brand_Qualcomm,0.0,Lasso_log_target,price,coefficient,0.0
model_ROG Strix,-0.0,Lasso_log_target,price,coefficient,0.0
model_MacBook Pro M1,-0.0,Lasso_log_target,price,coefficient,0.0
model_is_rare,0.0,Lasso_log_target,price,coefficient,0.0
model_Latitude,-0.0,Lasso_log_target,price,coefficient,0.0
