feature,importance,model_name,target_used,importance_type,abs_importance
model_Other,-33035707337253.016,Linear Regression_target,price,coefficient,33035707337253.016
brand_Other,29386902384745.203,Linear Regression_target,price,coefficient,29386902384745.203
no_info_model,27162430656232.9,Linear Regression_target,price,coefficient,27162430656232.9
no_info_brand,-21717150220862.414,Linear Regression_target,price,coefficient,21717150220862.414
brand_Dell,16970554075070.078,Linear Regression_target,price,coefficient,16970554075070.078
gpu_type_Missing_Info,15950199166624.639,Linear Regression_target,price,coefficient,15950199166624.639
no_info_gpu,-15799407609468.67,Linear Regression_target,price,coefficient,15799407609468.67
no_info_cpu_brand,-15795496773649.746,Linear Regression_target,price,coefficient,15795496773649.746
brand_Lenovo,13338605432327.613,Linear Regression_target,price,coefficient,13338605432327.613
brand_Apple,13176056798706.715,Linear Regression_target,price,coefficient,13176056798706.715
brand_HP,12701015401471.234,Linear Regression_target,price,coefficient,12701015401471.234
brand_ASUS,12363005924357.361,Linear Regression_target,price,coefficient,12363005924357.361
model_is_rare,-11351483929282.828,Linear Regression_target,price,coefficient,11351483929282.828
cpu_brand_Other,10964776933228.822,Linear Regression_target,price,coefficient,10964776933228.822
cpu_brand_Intel,-10120591571427.826,Linear Regression_target,price,coefficient,10120591571427.826
brand_Acer,9531889413783.355,Linear Regression_target,price,coefficient,9531889413783.355
brand_MSI,7773237687874.123,Linear Regression_target,price,coefficient,7773237687874.123
cpu_brand_AMD,-7529569047557.173,Linear Regression_target,price,coefficient,7529569047557.173
brand_Microsoft,7043616152911.744,Linear Regression_target,price,coefficient,7043616152911.744
cpu_brand_Apple,-6268782696097.465,Linear Regression_target,price,coefficient,6268782696097.465
brand_Sony,5225811114303.466,Linear Regression_target,price,coefficient,5225811114303.466
brand_Toshiba,5021661005550.67,Linear Regression_target,price,coefficient,5021661005550.67
brand_is_rare,-4827826561434.945,Linear Regression_target,price,coefficient,4827826561434.945
brand_LG,4808701533866.009,Linear Regression_target,price,coefficient,4808701533866.009
brand_Gigabyte,3699338218195.2554,Linear Regression_target,price,coefficient,3699338218195.2554
model_Latitude,-2709889925979.1914,Linear Regression_target,price,coefficient,2709889925979.1914
model_MacBook Pro,-2488853103650.7354,Linear Regression_target,price,coefficient,2488853103650.7354
model_Vostro,2303812382649.3,Linear Regression_target,price,coefficient,2303812382649.3
model_Latitude 14 7000,2119186232569.252,Linear Regression_target,price,coefficient,2119186232569.252
model_Legion 5,2053820764713.2285,Linear Regression_target,price,coefficient,2053820764713.2285
model_ThinkPad X1 Carbon,1986233647501.748,Linear Regression_target,price,coefficient,1986233647501.748
model_Latitude E Series,1963171466904.6812,Linear Regression_target,price,coefficient,1963171466904.6812
model_Precision,-1932366260910.543,Linear Regression_target,price,coefficient,1932366260910.543
model_MacBook Air,-1900279158384.6597,Linear Regression_target,price,coefficient,1900279158384.6597
model_Inspiron,-1827492143481.8145,Linear Regression_target,price,coefficient,1827492143481.8145
model_Macbook air m4,1818484442144.4683,Linear Regression_target,price,coefficient,1818484442144.4683
model_XPS 13,1793204407275.8574,Linear Regression_target,price,coefficient,1793204407275.8574
model_MacBook Air M2,1767553889156.4395,Linear Regression_target,price,coefficient,1767553889156.4395
model_Pavilion 15,1741516517499.5142,Linear Regression_target,price,coefficient,1741516517499.5142
model_X Series,1741516517499.5015,Linear Regression_target,price,coefficient,1741516517499.5015
model_TUF Gaming,1741516517499.3965,Linear Regression_target,price,coefficient,1741516517499.3965
model_TUF Gaming F15,1660900002641.379,Linear Regression_target,price,coefficient,1660900002641.379
model_Elitebook 800,1633124351610.7988,Linear Regression_target,price,coefficient,1633124351610.7988
model_Vivobook 15,1633124351610.7305,Linear Regression_target,price,coefficient,1633124351610.7305
model_Gaming Thin GF,1633124351610.58,Linear Regression_target,price,coefficient,1633124351610.58
