feature,importance,model_name,target_used,importance_type,abs_importance
ram_level,0.29441321186686625,Random Forest_log_target,price,feature_importance,0.29441321186686625
condition_score,0.2735190935004375,Random Forest_log_target,price,feature_importance,0.2735190935004375
storage_level,0.0991641852490541,Random Forest_log_target,price,feature_importance,0.0991641852490541
warranty_encoded,0.05834696044353951,Random Forest_log_target,price,feature_importance,0.05834696044353951
cpu_family_ord_filled,0.048974419542311284,Random Forest_log_target,price,feature_importance,0.048974419542311284
cpu_tier_encoded,0.026824834717903912,Random Forest_log_target,price,feature_importance,0.026824834717903912
cpu_brand_Apple,0.025806536145803808,Random Forest_log_target,price,feature_importance,0.025806536145803808
screen_size_level,0.012948484740775418,Random Forest_log_target,price,feature_importance,0.012948484740775418
gpu_tier_ord_filled,0.012132329592338781,Random Forest_log_target,price,feature_importance,0.012132329592338781
storage_hdd,0.011125692535324885,Random Forest_log_target,price,feature_importance,0.011125692535324885
cpu_family_group_Apple Silicon,0.010548349422784433,Random Forest_log_target,price,feature_importance,0.010548349422784433
brand_Apple,0.008783960164591145,Random Forest_log_target,price,feature_importance,0.008783960164591145
cpu_intel_generation_ord,0.0078710610596646,Random Forest_log_target,price,feature_importance,0.0078710610596646
brand_Dell,0.006130947070653563,Random Forest_log_target,price,feature_importance,0.006130947070653563
brand_Lenovo,0.006055521360264738,Random Forest_log_target,price,feature_importance,0.006055521360264738
gpu_type_Dedicated,0.005234679304098279,Random Forest_log_target,price,feature_importance,0.005234679304098279
cpu_suffix_power_ord_filled,0.0046548354771136224,Random Forest_log_target,price,feature_importance,0.0046548354771136224
brand_HP,0.004455428243117599,Random Forest_log_target,price,feature_importance,0.004455428243117599
no_info_cpu_tier,0.004047887071860243,Random Forest_log_target,price,feature_importance,0.004047887071860243
cpu_family_group_Intel Core i,0.003907271979671529,Random Forest_log_target,price,feature_importance,0.003907271979671529
brand_ASUS,0.003721887794888263,Random Forest_log_target,price,feature_importance,0.003721887794888263
brand_Microsoft,0.0036314515565467544,Random Forest_log_target,price,feature_importance,0.0036314515565467544
gpu_type_Integrated,0.0033829136094385977,Random Forest_log_target,price,feature_importance,0.0033829136094385977
storage_ssd,0.0032646892442364374,Random Forest_log_target,price,feature_importance,0.0032646892442364374
brand_Acer,0.003037910121453355,Random Forest_log_target,price,feature_importance,0.003037910121453355
screen_missing,0.0029903458574651216,Random Forest_log_target,price,feature_importance,0.0029903458574651216
cpu_brand_Intel,0.002887465595333137,Random Forest_log_target,price,feature_importance,0.002887465595333137
cpu_brand_AMD,0.0026158202378483296,Random Forest_log_target,price,feature_importance,0.0026158202378483296
no_info_model,0.002445936526986251,Random Forest_log_target,price,feature_importance,0.002445936526986251
brand_MSI,0.0024287679810457985,Random Forest_log_target,price,feature_importance,0.0024287679810457985
no_info_storage,0.002402374300886363,Random Forest_log_target,price,feature_importance,0.002402374300886363
model_Other,0.002371657953168994,Random Forest_log_target,price,feature_importance,0.002371657953168994
ram_missing,0.0021792533718385017,Random Forest_log_target,price,feature_importance,0.0021792533718385017
cpu_family_group_Intel Core Ultra,0.001887834746001794,Random Forest_log_target,price,feature_importance,0.001887834746001794
model_is_rare,0.0018533467282670975,Random Forest_log_target,price,feature_importance,0.0018533467282670975
gpu_type_Missing_Info,0.0017719370017529605,Random Forest_log_target,price,feature_importance,0.0017719370017529605
no_info_gpu,0.0017590116479116141,Random Forest_log_target,price,feature_importance,0.0017590116479116141
model_MacBook Pro,0.001747241945572874,Random Forest_log_target,price,feature_importance,0.001747241945572874
model_Latitude E Series,0.0016580848999049635,Random Forest_log_target,price,feature_importance,0.0016580848999049635
model_Latitude,0.0016108957958893908,Random Forest_log_target,price,feature_importance,0.0016108957958893908
cpu_amd_generation_ord,0.0015483621201162869,Random Forest_log_target,price,feature_importance,0.0015483621201162869
storage_missing,0.0015251527498270278,Random Forest_log_target,price,feature_importance,0.0015251527498270278
brand_is_rare,0.0013937351138251875,Random Forest_log_target,price,feature_importance,0.0013937351138251875
model_Inspiron,0.0013444047893638865,Random Forest_log_target,price,feature_importance,0.0013444047893638865
model_Precision,0.0013317399725186298,Random Forest_log_target,price,feature_importance,0.0013317399725186298
cpu_family_group_AMD Ryzen,0.001214736100733013,Random Forest_log_target,price,feature_importance,0.001214736100733013
no_info_brand,0.0011997332097297335,Random Forest_log_target,price,feature_importance,0.0011997332097297335
brand_Other,0.0011669644230473686,Random Forest_log_target,price,feature_importance,0.0011669644230473686
cpu_brand_Other,0.001053952113729738,Random Forest_log_target,price,feature_importance,0.001053952113729738
model_MacBook Air,0.001043370795349278,Random Forest_log_target,price,feature_importance,0.001043370795349278
no_info_cpu_brand,0.001007048578546911,Random Forest_log_target,price,feature_importance,0.001007048578546911
model_XPS 13,0.0009824201442114205,Random Forest_log_target,price,feature_importance,0.0009824201442114205
model_MacBook Air M1,0.000872956752385539,Random Forest_log_target,price,feature_importance,0.000872956752385539
model_Vostro,0.000760896044319266,Random Forest_log_target,price,feature_importance,0.000760896044319266
model_ThinkPad,0.0007408027919117272,Random Forest_log_target,price,feature_importance,0.0007408027919117272
model_Nitro 5,0.0006940214185234756,Random Forest_log_target,price,feature_importance,0.0006940214185234756
cpu_family_group_Intel Low End,0.0006802022461961909,Random Forest_log_target,price,feature_importance,0.0006802022461961909
model_Elitebook,0.0006453841058942729,Random Forest_log_target,price,feature_importance,0.0006453841058942729
model_Legion 5,0.0005677586660345265,Random Forest_log_target,price,feature_importance,0.0005677586660345265
model_ProBook,0.0004989763820884229,Random Forest_log_target,price,feature_importance,0.0004989763820884229
model_X Series,0.0004241511712650723,Random Forest_log_target,price,feature_importance,0.0004241511712650723
model_Pavilion 15,0.0004062587246180923,Random Forest_log_target,price,feature_importance,0.0004062587246180923
model_ThinkPad X1 Carbon,0.00039600380134055606,Random Forest_log_target,price,feature_importance,0.00039600380134055606
brand_LG,0.0003920146671955271,Random Forest_log_target,price,feature_importance,0.0003920146671955271
model_IdeaPad,0.00036853459451904245,Random Forest_log_target,price,feature_importance,0.00036853459451904245
model_TUF Gaming F15,0.00036780939628476317,Random Forest_log_target,price,feature_importance,0.00036780939628476317
brand_Sony,0.00033298466895570635,Random Forest_log_target,price,feature_importance,0.00033298466895570635
model_TUF Gaming,0.0003266885443194149,Random Forest_log_target,price,feature_importance,0.0003266885443194149
model_Gaming Thin GF,0.00025684492399171517,Random Forest_log_target,price,feature_importance,0.00025684492399171517
model_ROG Strix,0.00021966027501140508,Random Forest_log_target,price,feature_importance,0.00021966027501140508
model_Aspire,0.00021405448799068097,Random Forest_log_target,price,feature_importance,0.00021405448799068097
model_Latitude 14 7000,0.0001681488844736852,Random Forest_log_target,price,feature_importance,0.0001681488844736852
model_Macbook air m4,0.0001435991574933,Random Forest_log_target,price,feature_importance,0.0001435991574933
cpu_brand_Microsoft SQ,0.0001354599029741668,Random Forest_log_target,price,feature_importance,0.0001354599029741668
cpu_brand_Qualcomm,0.00012650678176750647,Random Forest_log_target,price,feature_importance,0.00012650678176750647
model_MacBook Pro M1,0.0001229026646877011,Random Forest_log_target,price,feature_importance,0.0001229026646877011
brand_Toshiba,0.00011657514291261643,Random Forest_log_target,price,feature_importance,0.00011657514291261643
model_Vivobook 15,0.00011571751122443857,Random Forest_log_target,price,feature_importance,0.00011571751122443857
model_Legion,0.00011340121586740214,Random Forest_log_target,price,feature_importance,0.00011340121586740214
model_Elitebook 800,9.268178866559673e-05,Random Forest_log_target,price,feature_importance,9.268178866559673e-05
cpu_apple_core_spec,7.079405033868385e-05,Random Forest_log_target,price,feature_importance,7.079405033868385e-05
gpu_type_Apple SoC,6.68583861463051e-05,Random Forest_log_target,price,feature_importance,6.68583861463051e-05
brand_Gigabyte,5.404364643629292e-05,Random Forest_log_target,price,feature_importance,5.404364643629292e-05
model_MacBook Air M2,3.495238730791619e-05,Random Forest_log_target,price,feature_importance,3.495238730791619e-05
model_MacBook Pro M2,3.445549729338401e-05,Random Forest_log_target,price,feature_importance,3.445549729338401e-05
cpu_qualcomm_snapdragon_spec,3.176280395526131e-05,Random Forest_log_target,price,feature_importance,3.176280395526131e-05
