feature,importance,model_name,target_used,importance_type,abs_importance
ram_gb,18.87565366563864,CatBoost_log_target,price,feature_importance,18.87565366563864
warranty_encoded,17.239983528123762,CatBoost_log_target,price,feature_importance,17.239983528123762
storage_gb,15.729150498054471,CatBoost_log_target,price,feature_importance,15.729150498054471
condition_score,12.964111055625276,CatBoost_log_target,price,feature_importance,12.964111055625276
cpu_tier_encoded,5.1156028361995025,CatBoost_log_target,price,feature_importance,5.1156028361995025
cpu_family_ord_filled,4.186825001207501,CatBoost_log_target,price,feature_importance,4.186825001207501
cpu_family_group_Apple Silicon,4.179180571380052,CatBoost_log_target,price,feature_importance,4.179180571380052
cpu_intel_generation_ord,2.7214398004982803,CatBoost_log_target,price,feature_importance,2.7214398004982803
cpu_brand_Apple,2.5141365109613645,CatBoost_log_target,price,feature_importance,2.5141365109613645
screen_size_inch,2.0135880011330323,CatBoost_log_target,price,feature_importance,2.0135880011330323
gpu_tier_ord_filled,1.9914173509340791,CatBoost_log_target,price,feature_importance,1.9914173509340791
cpu_suffix_power_ord_filled,1.8615686878305122,CatBoost_log_target,price,feature_importance,1.8615686878305122
cpu_brand_Intel,1.261653881034025,CatBoost_log_target,price,feature_importance,1.261653881034025
brand_Apple,1.1984602940694324,CatBoost_log_target,price,feature_importance,1.1984602940694324
storage_hdd,1.0387275918290109,CatBoost_log_target,price,feature_importance,1.0387275918290109
brand_Microsoft,0.63316941826209,CatBoost_log_target,price,feature_importance,0.63316941826209
ram_missing,0.581011246948615,CatBoost_log_target,price,feature_importance,0.581011246948615
gpu_type_Dedicated,0.5648194770798626,CatBoost_log_target,price,feature_importance,0.5648194770798626
gpu_type_Integrated,0.5342913062386302,CatBoost_log_target,price,feature_importance,0.5342913062386302
cpu_family_group_Intel Core i,0.377468746836539,CatBoost_log_target,price,feature_importance,0.377468746836539
gpu_type_Missing_Info,0.2771994567822542,CatBoost_log_target,price,feature_importance,0.2771994567822542
brand_Lenovo,0.26463641012882844,CatBoost_log_target,price,feature_importance,0.26463641012882844
cpu_family_group_Intel Core Ultra,0.2259365277274501,CatBoost_log_target,price,feature_importance,0.2259365277274501
no_info_storage,0.20805700606010916,CatBoost_log_target,price,feature_importance,0.20805700606010916
brand_Acer,0.20430045597130286,CatBoost_log_target,price,feature_importance,0.20430045597130286
brand_is_rare,0.20070943114928302,CatBoost_log_target,price,feature_importance,0.20070943114928302
brand_Dell,0.19708895372499313,CatBoost_log_target,price,feature_importance,0.19708895372499313
cpu_brand_AMD,0.18174323681544494,CatBoost_log_target,price,feature_importance,0.18174323681544494
no_info_cpu_tier,0.1784209370284253,CatBoost_log_target,price,feature_importance,0.1784209370284253
storage_missing,0.17598708809843241,CatBoost_log_target,price,feature_importance,0.17598708809843241
model_Latitude E Series,0.17180801359324355,CatBoost_log_target,price,feature_importance,0.17180801359324355
model_Legion 5,0.16154783861226366,CatBoost_log_target,price,feature_importance,0.16154783861226366
storage_ssd,0.1407112935095664,CatBoost_log_target,price,feature_importance,0.1407112935095664
cpu_amd_generation_ord,0.13791611225768535,CatBoost_log_target,price,feature_importance,0.13791611225768535
model_MacBook Pro,0.13131314727431326,CatBoost_log_target,price,feature_importance,0.13131314727431326
brand_HP,0.1157397861093895,CatBoost_log_target,price,feature_importance,0.1157397861093895
model_XPS 13,0.10893476097884325,CatBoost_log_target,price,feature_importance,0.10893476097884325
cpu_family_group_AMD Ryzen,0.0997463774856098,CatBoost_log_target,price,feature_importance,0.0997463774856098
brand_MSI,0.09709176044026566,CatBoost_log_target,price,feature_importance,0.09709176044026566
brand_LG,0.08730014375468402,CatBoost_log_target,price,feature_importance,0.08730014375468402
model_Nitro 5,0.0761675935702471,CatBoost_log_target,price,feature_importance,0.0761675935702471
model_ThinkPad,0.07480012107281173,CatBoost_log_target,price,feature_importance,0.07480012107281173
brand_Sony,0.06391325583989318,CatBoost_log_target,price,feature_importance,0.06391325583989318
no_info_model,0.053027113642325374,CatBoost_log_target,price,feature_importance,0.053027113642325374
model_MacBook Air M1,0.05126025148936499,CatBoost_log_target,price,feature_importance,0.05126025148936499
cpu_brand_Other,0.04914257663313524,CatBoost_log_target,price,feature_importance,0.04914257663313524
no_info_gpu,0.048145958478958605,CatBoost_log_target,price,feature_importance,0.048145958478958605
brand_ASUS,0.04666806525999304,CatBoost_log_target,price,feature_importance,0.04666806525999304
brand_Other,0.04466461255586957,CatBoost_log_target,price,feature_importance,0.04466461255586957
model_X Series,0.04253474264837796,CatBoost_log_target,price,feature_importance,0.04253474264837796
no_info_brand,0.04190201232297612,CatBoost_log_target,price,feature_importance,0.04190201232297612
model_Precision,0.040787500161057484,CatBoost_log_target,price,feature_importance,0.040787500161057484
model_MacBook Air,0.03944347141566466,CatBoost_log_target,price,feature_importance,0.03944347141566466
model_Other,0.03900079050296923,CatBoost_log_target,price,feature_importance,0.03900079050296923
model_TUF Gaming F15,0.034008564062723144,CatBoost_log_target,price,feature_importance,0.034008564062723144
model_Legion,0.0320311619061067,CatBoost_log_target,price,feature_importance,0.0320311619061067
no_info_cpu_brand,0.028100383917847443,CatBoost_log_target,price,feature_importance,0.028100383917847443
cpu_brand_Qualcomm,0.027909699832982388,CatBoost_log_target,price,feature_importance,0.027909699832982388
cpu_family_group_Intel Low End,0.027824087835956454,CatBoost_log_target,price,feature_importance,0.027824087835956454
model_ROG Strix,0.026270963547781554,CatBoost_log_target,price,feature_importance,0.026270963547781554
model_is_rare,0.02616066360779177,CatBoost_log_target,price,feature_importance,0.02616066360779177
model_Inspiron,0.024447472058549358,CatBoost_log_target,price,feature_importance,0.024447472058549358
model_TUF Gaming,0.01571451143982889,CatBoost_log_target,price,feature_importance,0.01571451143982889
model_ThinkPad X1 Carbon,0.015518609937855466,CatBoost_log_target,price,feature_importance,0.015518609937855466
model_Vostro,0.01398769986391325,CatBoost_log_target,price,feature_importance,0.01398769986391325
model_Latitude,0.01215027380037112,CatBoost_log_target,price,feature_importance,0.01215027380037112
model_Elitebook,0.011391537063010488,CatBoost_log_target,price,feature_importance,0.011391537063010488
model_Aspire,0.008132928358887381,CatBoost_log_target,price,feature_importance,0.008132928358887381
cpu_apple_core_spec,0.0080544263544244,CatBoost_log_target,price,feature_importance,0.0080544263544244
model_Gaming Thin GF,0.00785776642267776,CatBoost_log_target,price,feature_importance,0.00785776642267776
model_ProBook,0.0071896450348889855,CatBoost_log_target,price,feature_importance,0.0071896450348889855
model_MacBook Pro M2,0.003639983173612543,CatBoost_log_target,price,feature_importance,0.003639983173612543
model_MacBook Air M2,0.002922129896821454,CatBoost_log_target,price,feature_importance,0.002922129896821454
brand_Toshiba,0.0018676278634851202,CatBoost_log_target,price,feature_importance,0.0018676278634851202
model_Macbook air m4,0.0017555322905964245,CatBoost_log_target,price,feature_importance,0.0017555322905964245
cpu_brand_Microsoft SQ,0.0016513035025197324,CatBoost_log_target,price,feature_importance,0.0016513035025197324
model_Pavilion 15,0.001398044526132564,CatBoost_log_target,price,feature_importance,0.001398044526132564
model_Vivobook 15,0.0001087107205046957,CatBoost_log_target,price,feature_importance,0.0001087107205046957
model_Elitebook 800,0.0,CatBoost_log_target,price,feature_importance,0.0
model_IdeaPad,0.0,CatBoost_log_target,price,feature_importance,0.0
