feature,importance,model_name,target_used,importance_type,abs_importance
no_info_cpu_tier,0.22307148961376608,ElasticNet_log_target,price,coefficient,0.22307148961376608
condition_score,0.201408248560111,ElasticNet_log_target,price,coefficient,0.201408248560111
cpu_tier_encoded,0.18102085487441705,ElasticNet_log_target,price,coefficient,0.18102085487441705
gpu_type_Dedicated,0.17386115214043524,ElasticNet_log_target,price,coefficient,0.17386115214043524
ram_gb,0.17078909470197126,ElasticNet_log_target,price,coefficient,0.17078909470197126
cpu_family_ord_filled,0.16559501881703825,ElasticNet_log_target,price,coefficient,0.16559501881703825
warranty_encoded,0.16198307714397708,ElasticNet_log_target,price,coefficient,0.16198307714397708
cpu_family_group_Intel Core i,-0.13102205951853016,ElasticNet_log_target,price,coefficient,0.13102205951853016
gpu_tier_ord_filled,-0.1054253749124063,ElasticNet_log_target,price,coefficient,0.1054253749124063
storage_gb,0.10180075109348058,ElasticNet_log_target,price,coefficient,0.10180075109348058
screen_size_inch,0.09851046265093999,ElasticNet_log_target,price,coefficient,0.09851046265093999
cpu_family_group_AMD Ryzen,-0.09222478948772754,ElasticNet_log_target,price,coefficient,0.09222478948772754
no_info_storage,0.08905077283586102,ElasticNet_log_target,price,coefficient,0.08905077283586102
storage_ssd,0.0826490831527556,ElasticNet_log_target,price,coefficient,0.0826490831527556
cpu_intel_generation_ord,0.0743463140550068,ElasticNet_log_target,price,coefficient,0.0743463140550068
brand_Apple,0.058462982817845455,ElasticNet_log_target,price,coefficient,0.058462982817845455
cpu_brand_AMD,0.049857275035487876,ElasticNet_log_target,price,coefficient,0.049857275035487876
no_info_gpu,-0.04381336816958205,ElasticNet_log_target,price,coefficient,0.04381336816958205
cpu_brand_Apple,0.04291973511148667,ElasticNet_log_target,price,coefficient,0.04291973511148667
model_Latitude E Series,-0.04230391703061804,ElasticNet_log_target,price,coefficient,0.04230391703061804
cpu_brand_Other,-0.04159314785171915,ElasticNet_log_target,price,coefficient,0.04159314785171915
cpu_family_group_Intel Core Ultra,-0.03775573554571299,ElasticNet_log_target,price,coefficient,0.03775573554571299
cpu_brand_Intel,-0.03742883759943016,ElasticNet_log_target,price,coefficient,0.03742883759943016
brand_Sony,-0.03684212451460669,ElasticNet_log_target,price,coefficient,0.03684212451460669
brand_Microsoft,0.03671874808506975,ElasticNet_log_target,price,coefficient,0.03671874808506975
model_MacBook Air,-0.03582889620645661,ElasticNet_log_target,price,coefficient,0.03582889620645661
screen_missing,0.03512421340083533,ElasticNet_log_target,price,coefficient,0.03512421340083533
cpu_family_group_Apple Silicon,0.030734798291152072,ElasticNet_log_target,price,coefficient,0.030734798291152072
