feature,importance,model_name,target_used,importance_type,abs_importance
gpu_tier_ord_filled,4.555146006148157,Lasso_target,price,coefficient,4.555146006148157
ram_gb,4.4458821889035,Lasso_target,price,coefficient,4.4458821889035
storage_gb,3.984867611386906,Lasso_target,price,coefficient,3.984867611386906
cpu_family_ord_filled,3.982935120112831,Lasso_target,price,coefficient,3.982935120112831
cpu_family_group_Intel Core i,-3.482644788567455,Lasso_target,price,coefficient,3.482644788567455
condition_score,2.6147296462058707,Lasso_target,price,coefficient,2.6147296462058707
no_info_cpu_tier,2.4736841606976516,Lasso_target,price,coefficient,2.4736841606976516
gpu_type_Dedicated,-2.2574603634461776,Lasso_target,price,coefficient,2.2574603634461776
cpu_tier_encoded,2.2030611160048656,Lasso_target,price,coefficient,2.2030611160048656
cpu_family_group_AMD Ryzen,-2.027934148023891,Lasso_target,price,coefficient,2.027934148023891
warranty_encoded,1.5261450834680665,Lasso_target,price,coefficient,1.5261450834680665
gpu_type_Missing_Info,1.4379758901031572,Lasso_target,price,coefficient,1.4379758901031572
storage_ssd,1.2281121917196602,Lasso_target,price,coefficient,1.2281121917196602
no_info_storage,1.1241014589784848,Lasso_target,price,coefficient,1.1241014589784848
cpu_suffix_power_ord_filled,1.052614918725486,Lasso_target,price,coefficient,1.052614918725486
ram_missing,0.8175531998009419,Lasso_target,price,coefficient,0.8175531998009419
cpu_brand_Apple,0.804591726251529,Lasso_target,price,coefficient,0.804591726251529
storage_missing,0.7689269111276728,Lasso_target,price,coefficient,0.7689269111276728
screen_missing,-0.7279432503568062,Lasso_target,price,coefficient,0.7279432503568062
brand_Apple,0.6976734927878819,Lasso_target,price,coefficient,0.6976734927878819
cpu_intel_generation_ord,0.6657825475593604,Lasso_target,price,coefficient,0.6657825475593604
model_MacBook Air M1,-0.6572412311669651,Lasso_target,price,coefficient,0.6572412311669651
cpu_family_group_Intel Core Ultra,-0.5759284969625978,Lasso_target,price,coefficient,0.5759284969625978
cpu_brand_Qualcomm,0.5264557813780301,Lasso_target,price,coefficient,0.5264557813780301
model_MacBook Pro,-0.5190060697133285,Lasso_target,price,coefficient,0.5190060697133285
model_Legion 5,0.4925593377161673,Lasso_target,price,coefficient,0.4925593377161673
cpu_amd_generation_ord,-0.47864009951150577,Lasso_target,price,coefficient,0.47864009951150577
brand_LG,0.4691329601223831,Lasso_target,price,coefficient,0.4691329601223831
model_MacBook Pro M1,-0.44939429884798776,Lasso_target,price,coefficient,0.44939429884798776
brand_Microsoft,0.41243277801443834,Lasso_target,price,coefficient,0.41243277801443834
brand_Lenovo,-0.39096490649585536,Lasso_target,price,coefficient,0.39096490649585536
brand_Dell,-0.3830439266113321,Lasso_target,price,coefficient,0.3830439266113321
model_MacBook Air M2,-0.3376513977299244,Lasso_target,price,coefficient,0.3376513977299244
cpu_brand_AMD,0.3331586767438411,Lasso_target,price,coefficient,0.3331586767438411
screen_size_inch,-0.3178450813171448,Lasso_target,price,coefficient,0.3178450813171448
brand_Acer,-0.31514572326088963,Lasso_target,price,coefficient,0.31514572326088963
model_Legion,0.2866406751971184,Lasso_target,price,coefficient,0.2866406751971184
cpu_brand_Other,-0.2846640529189517,Lasso_target,price,coefficient,0.2846640529189517
brand_Gigabyte,-0.2802839923290224,Lasso_target,price,coefficient,0.2802839923290224
no_info_model,0.24567973428839987,Lasso_target,price,coefficient,0.24567973428839987
model_Macbook air m4,-0.24026804679019548,Lasso_target,price,coefficient,0.24026804679019548
cpu_qualcomm_snapdragon_spec,-0.22069538452616222,Lasso_target,price,coefficient,0.22069538452616222
gpu_type_Apple SoC,0.2169003024887643,Lasso_target,price,coefficient,0.2169003024887643
brand_ASUS,0.20109423244614155,Lasso_target,price,coefficient,0.20109423244614155
model_XPS 13,0.1987162943452465,Lasso_target,price,coefficient,0.1987162943452465
model_MacBook Air,-0.1963456623009357,Lasso_target,price,coefficient,0.1963456623009357
model_MacBook Pro M2,-0.16819474946128557,Lasso_target,price,coefficient,0.16819474946128557
brand_MSI,0.1635274011422258,Lasso_target,price,coefficient,0.1635274011422258
model_IdeaPad,0.15611627721079913,Lasso_target,price,coefficient,0.15611627721079913
model_Gaming Thin GF,-0.14502096617193733,Lasso_target,price,coefficient,0.14502096617193733
model_Nitro 5,0.13829253960894705,Lasso_target,price,coefficient,0.13829253960894705
model_Precision,-0.13802345968807717,Lasso_target,price,coefficient,0.13802345968807717
cpu_brand_Microsoft SQ,0.13349798889444367,Lasso_target,price,coefficient,0.13349798889444367
model_ROG Strix,-0.13140853783990422,Lasso_target,price,coefficient,0.13140853783990422
model_TUF Gaming,-0.1281815896688711,Lasso_target,price,coefficient,0.1281815896688711
model_Aspire,0.12282332661243797,Lasso_target,price,coefficient,0.12282332661243797
model_ThinkPad X1 Carbon,0.10805230835514382,Lasso_target,price,coefficient,0.10805230835514382
storage_hdd,-0.10576217214532714,Lasso_target,price,coefficient,0.10576217214532714
brand_is_rare,-0.1016293631748909,Lasso_target,price,coefficient,0.1016293631748909
cpu_apple_core_spec,0.09709703168863798,Lasso_target,price,coefficient,0.09709703168863798
cpu_family_group_Intel Low End,-0.09631879196527872,Lasso_target,price,coefficient,0.09631879196527872
cpu_brand_Intel,-0.09570641630340881,Lasso_target,price,coefficient,0.09570641630340881
model_Vostro,0.09426818867709039,Lasso_target,price,coefficient,0.09426818867709039
brand_Sony,-0.0778059760569366,Lasso_target,price,coefficient,0.0778059760569366
model_X Series,-0.07617710364624233,Lasso_target,price,coefficient,0.07617710364624233
model_Inspiron,0.0720349787132581,Lasso_target,price,coefficient,0.0720349787132581
model_Latitude,0.06287969421952101,Lasso_target,price,coefficient,0.06287969421952101
model_Latitude E Series,-0.056536549724742084,Lasso_target,price,coefficient,0.056536549724742084
brand_Other,0.05408869293921029,Lasso_target,price,coefficient,0.05408869293921029
model_Latitude 14 7000,-0.0387754356413113,Lasso_target,price,coefficient,0.0387754356413113
model_Elitebook 800,-0.022555953453008662,Lasso_target,price,coefficient,0.022555953453008662
model_Elitebook,0.021489837771429352,Lasso_target,price,coefficient,0.021489837771429352
brand_Toshiba,-0.01896090598336645,Lasso_target,price,coefficient,0.01896090598336645
