feature,importance,model_name,target_used,importance_type,abs_importance
storage_gb,1691,LightGBM_log_target,price,feature_importance,1691
screen_size_inch,1683,LightGBM_log_target,price,feature_importance,1683
ram_gb,1424,LightGBM_log_target,price,feature_importance,1424
cpu_tier_encoded,1131,LightGBM_log_target,price,feature_importance,1131
cpu_family_ord_filled,930,LightGBM_log_target,price,feature_importance,930
cpu_intel_generation_ord,736,LightGBM_log_target,price,feature_importance,736
gpu_tier_ord_filled,576,LightGBM_log_target,price,feature_importance,576
brand_Dell,407,LightGBM_log_target,price,feature_importance,407
condition_score,376,LightGBM_log_target,price,feature_importance,376
cpu_suffix_power_ord_filled,352,LightGBM_log_target,price,feature_importance,352
no_info_gpu,333,LightGBM_log_target,price,feature_importance,333
gpu_type_Integrated,331,LightGBM_log_target,price,feature_importance,331
no_info_model,300,LightGBM_log_target,price,feature_importance,300
brand_Lenovo,260,LightGBM_log_target,price,feature_importance,260
cpu_family_group_Intel Core i,247,LightGBM_log_target,price,feature_importance,247
brand_Apple,242,LightGBM_log_target,price,feature_importance,242
warranty_encoded,241,LightGBM_log_target,price,feature_importance,241
cpu_brand_Intel,239,LightGBM_log_target,price,feature_importance,239
brand_HP,220,LightGBM_log_target,price,feature_importance,220
brand_ASUS,218,LightGBM_log_target,price,feature_importance,218
cpu_amd_generation_ord,205,LightGBM_log_target,price,feature_importance,205
storage_ssd,185,LightGBM_log_target,price,feature_importance,185
no_info_cpu_tier,150,LightGBM_log_target,price,feature_importance,150
model_MacBook Pro,134,LightGBM_log_target,price,feature_importance,134
cpu_brand_Apple,130,LightGBM_log_target,price,feature_importance,130
no_info_brand,130,LightGBM_log_target,price,feature_importance,130
brand_Acer,126,LightGBM_log_target,price,feature_importance,126
brand_Microsoft,123,LightGBM_log_target,price,feature_importance,123
cpu_family_group_Intel Core Ultra,120,LightGBM_log_target,price,feature_importance,120
model_is_rare,119,LightGBM_log_target,price,feature_importance,119
cpu_brand_AMD,108,LightGBM_log_target,price,feature_importance,108
model_XPS 13,92,LightGBM_log_target,price,feature_importance,92
storage_hdd,84,LightGBM_log_target,price,feature_importance,84
no_info_storage,76,LightGBM_log_target,price,feature_importance,76
model_TUF Gaming F15,76,LightGBM_log_target,price,feature_importance,76
brand_MSI,73,LightGBM_log_target,price,feature_importance,73
brand_is_rare,69,LightGBM_log_target,price,feature_importance,69
no_info_cpu_brand,68,LightGBM_log_target,price,feature_importance,68
model_Latitude E Series,65,LightGBM_log_target,price,feature_importance,65
brand_LG,64,LightGBM_log_target,price,feature_importance,64
model_Nitro 5,58,LightGBM_log_target,price,feature_importance,58
model_X Series,57,LightGBM_log_target,price,feature_importance,57
model_Inspiron,49,LightGBM_log_target,price,feature_importance,49
model_Gaming Thin GF,48,LightGBM_log_target,price,feature_importance,48
model_ThinkPad,45,LightGBM_log_target,price,feature_importance,45
model_Legion 5,45,LightGBM_log_target,price,feature_importance,45
model_MacBook Air,40,LightGBM_log_target,price,feature_importance,40
model_Vostro,38,LightGBM_log_target,price,feature_importance,38
model_MacBook Air M1,37,LightGBM_log_target,price,feature_importance,37
model_Elitebook,36,LightGBM_log_target,price,feature_importance,36
cpu_family_group_Apple Silicon,36,LightGBM_log_target,price,feature_importance,36
cpu_family_group_AMD Ryzen,34,LightGBM_log_target,price,feature_importance,34
model_Latitude,33,LightGBM_log_target,price,feature_importance,33
model_ROG Strix,30,LightGBM_log_target,price,feature_importance,30
model_Precision,29,LightGBM_log_target,price,feature_importance,29
model_Macbook air m4,27,LightGBM_log_target,price,feature_importance,27
model_MacBook Air M2,27,LightGBM_log_target,price,feature_importance,27
model_Aspire,27,LightGBM_log_target,price,feature_importance,27
model_MacBook Pro M1,26,LightGBM_log_target,price,feature_importance,26
model_TUF Gaming,21,LightGBM_log_target,price,feature_importance,21
cpu_family_group_Intel Low End,19,LightGBM_log_target,price,feature_importance,19
model_IdeaPad,19,LightGBM_log_target,price,feature_importance,19
brand_Sony,17,LightGBM_log_target,price,feature_importance,17
model_ProBook,16,LightGBM_log_target,price,feature_importance,16
model_ThinkPad X1 Carbon,14,LightGBM_log_target,price,feature_importance,14
model_Elitebook 800,10,LightGBM_log_target,price,feature_importance,10
cpu_apple_core_spec,7,LightGBM_log_target,price,feature_importance,7
model_MacBook Pro M2,7,LightGBM_log_target,price,feature_importance,7
model_Latitude 14 7000,7,LightGBM_log_target,price,feature_importance,7
gpu_type_Apple SoC,6,LightGBM_log_target,price,feature_importance,6
model_Vivobook 15,1,LightGBM_log_target,price,feature_importance,1
gpu_type_Dedicated,0,LightGBM_log_target,price,feature_importance,0
brand_Gigabyte,0,LightGBM_log_target,price,feature_importance,0
storage_missing,0,LightGBM_log_target,price,feature_importance,0
screen_missing,0,LightGBM_log_target,price,feature_importance,0
cpu_qualcomm_snapdragon_spec,0,LightGBM_log_target,price,feature_importance,0
ram_missing,0,LightGBM_log_target,price,feature_importance,0
model_Other,0,LightGBM_log_target,price,feature_importance,0
brand_Other,0,LightGBM_log_target,price,feature_importance,0
brand_Toshiba,0,LightGBM_log_target,price,feature_importance,0
model_Pavilion 15,0,LightGBM_log_target,price,feature_importance,0
cpu_brand_Qualcomm,0,LightGBM_log_target,price,feature_importance,0
cpu_brand_Other,0,LightGBM_log_target,price,feature_importance,0
cpu_brand_Microsoft SQ,0,LightGBM_log_target,price,feature_importance,0
model_Legion,0,LightGBM_log_target,price,feature_importance,0
gpu_type_Missing_Info,0,LightGBM_log_target,price,feature_importance,0
