feature,importance,model_name,target_used,importance_type,abs_importance
storage_gb,0.4247381574505108,Random Forest_log_target,price,feature_importance,0.4247381574505108
ram_gb,0.12577122657640172,Random Forest_log_target,price,feature_importance,0.12577122657640172
condition_score,0.10843111175915877,Random Forest_log_target,price,feature_importance,0.10843111175915877
warranty_encoded,0.0963649271811232,Random Forest_log_target,price,feature_importance,0.0963649271811232
cpu_family_ord_filled,0.03204393238087596,Random Forest_log_target,price,feature_importance,0.03204393238087596
cpu_tier_encoded,0.023915342167990905,Random Forest_log_target,price,feature_importance,0.023915342167990905
cpu_brand_Apple,0.02053644476341545,Random Forest_log_target,price,feature_importance,0.02053644476341545
screen_size_inch,0.018348423707248325,Random Forest_log_target,price,feature_importance,0.018348423707248325
cpu_family_group_Apple Silicon,0.01589094831808823,Random Forest_log_target,price,feature_importance,0.01589094831808823
gpu_tier_ord_filled,0.011165315009968372,Random Forest_log_target,price,feature_importance,0.011165315009968372
cpu_intel_generation_ord,0.00805000978888961,Random Forest_log_target,price,feature_importance,0.00805000978888961
brand_Apple,0.008037870520289894,Random Forest_log_target,price,feature_importance,0.008037870520289894
storage_hdd,0.006506140955249213,Random Forest_log_target,price,feature_importance,0.006506140955249213
brand_Dell,0.005785585482321752,Random Forest_log_target,price,feature_importance,0.005785585482321752
brand_Lenovo,0.005586623765078158,Random Forest_log_target,price,feature_importance,0.005586623765078158
gpu_type_Dedicated,0.004853137250123886,Random Forest_log_target,price,feature_importance,0.004853137250123886
brand_HP,0.004110400341684557,Random Forest_log_target,price,feature_importance,0.004110400341684557
no_info_cpu_tier,0.003897061416972721,Random Forest_log_target,price,feature_importance,0.003897061416972721
cpu_family_group_Intel Core i,0.0035660224591440737,Random Forest_log_target,price,feature_importance,0.0035660224591440737
brand_ASUS,0.003503396262336199,Random Forest_log_target,price,feature_importance,0.003503396262336199
brand_Microsoft,0.003493837346187583,Random Forest_log_target,price,feature_importance,0.003493837346187583
gpu_type_Integrated,0.0033818102196472885,Random Forest_log_target,price,feature_importance,0.0033818102196472885
cpu_suffix_power_ord_filled,0.003371222088961019,Random Forest_log_target,price,feature_importance,0.003371222088961019
cpu_brand_Intel,0.002905533296005356,Random Forest_log_target,price,feature_importance,0.002905533296005356
storage_ssd,0.0028382516609324515,Random Forest_log_target,price,feature_importance,0.0028382516609324515
model_is_rare,0.0027854619285392693,Random Forest_log_target,price,feature_importance,0.0027854619285392693
brand_Acer,0.0027817265570897667,Random Forest_log_target,price,feature_importance,0.0027817265570897667
cpu_brand_AMD,0.002331257278495818,Random Forest_log_target,price,feature_importance,0.002331257278495818
no_info_storage,0.002217083919785203,Random Forest_log_target,price,feature_importance,0.002217083919785203
brand_MSI,0.002144677713116393,Random Forest_log_target,price,feature_importance,0.002144677713116393
model_Other,0.0021233157359067437,Random Forest_log_target,price,feature_importance,0.0021233157359067437
screen_missing,0.002108757123508333,Random Forest_log_target,price,feature_importance,0.002108757123508333
no_info_model,0.0020963879771541904,Random Forest_log_target,price,feature_importance,0.0020963879771541904
ram_missing,0.002067957823591178,Random Forest_log_target,price,feature_importance,0.002067957823591178
cpu_family_group_Intel Core Ultra,0.0018417604659772835,Random Forest_log_target,price,feature_importance,0.0018417604659772835
model_MacBook Pro,0.0018206979697852233,Random Forest_log_target,price,feature_importance,0.0018206979697852233
storage_missing,0.0017145152310697616,Random Forest_log_target,price,feature_importance,0.0017145152310697616
gpu_type_Missing_Info,0.0016580937596691828,Random Forest_log_target,price,feature_importance,0.0016580937596691828
no_info_gpu,0.0016101714460423266,Random Forest_log_target,price,feature_importance,0.0016101714460423266
brand_is_rare,0.0013888336208545294,Random Forest_log_target,price,feature_importance,0.0013888336208545294
cpu_amd_generation_ord,0.0013493597583997127,Random Forest_log_target,price,feature_importance,0.0013493597583997127
cpu_family_group_AMD Ryzen,0.0013089235567708408,Random Forest_log_target,price,feature_importance,0.0013089235567708408
