feature,importance,model_name,target_used,importance_type,abs_importance
ram_gb,0.2511674937927656,Random Forest_target,price,feature_importance,0.2511674937927656
cpu_tier_encoded,0.1529639923793502,Random Forest_target,price,feature_importance,0.1529639923793502
storage_gb,0.125410109188024,Random Forest_target,price,feature_importance,0.125410109188024
condition_score,0.12469132403356338,Random Forest_target,price,feature_importance,0.12469132403356338
warranty_encoded,0.1101580268128802,Random Forest_target,price,feature_importance,0.1101580268128802
cpu_family_ord_filled,0.054465029510889496,Random Forest_target,price,feature_importance,0.054465029510889496
screen_size_inch,0.024863210199656878,Random Forest_target,price,feature_importance,0.024863210199656878
gpu_tier_ord_filled,0.020784364092966388,Random Forest_target,price,feature_importance,0.020784364092966388
cpu_intel_generation_ord,0.01694091657659428,Random Forest_target,price,feature_importance,0.01694091657659428
cpu_family_group_Apple Silicon,0.014929930742437527,Random Forest_target,price,feature_importance,0.014929930742437527
cpu_brand_Apple,0.010138971605640576,Random Forest_target,price,feature_importance,0.010138971605640576
cpu_suffix_power_ord_filled,0.007771178617889414,Random Forest_target,price,feature_importance,0.007771178617889414
brand_Dell,0.00768638375675757,Random Forest_target,price,feature_importance,0.00768638375675757
brand_Lenovo,0.00708876644301371,Random Forest_target,price,feature_importance,0.00708876644301371
brand_HP,0.005738824942681179,Random Forest_target,price,feature_importance,0.005738824942681179
gpu_type_Integrated,0.005524457695671804,Random Forest_target,price,feature_importance,0.005524457695671804
cpu_family_group_Intel Core Ultra,0.003993872399763209,Random Forest_target,price,feature_importance,0.003993872399763209
brand_ASUS,0.003492500264193271,Random Forest_target,price,feature_importance,0.003492500264193271
gpu_type_Dedicated,0.003474183600983097,Random Forest_target,price,feature_importance,0.003474183600983097
brand_Apple,0.0034019871136652456,Random Forest_target,price,feature_importance,0.0034019871136652456
cpu_family_group_Intel Core i,0.0030382445396614955,Random Forest_target,price,feature_importance,0.0030382445396614955
cpu_amd_generation_ord,0.0029228806363040907,Random Forest_target,price,feature_importance,0.0029228806363040907
no_info_cpu_tier,0.0024125264013962937,Random Forest_target,price,feature_importance,0.0024125264013962937
brand_MSI,0.0023852423045714896,Random Forest_target,price,feature_importance,0.0023852423045714896
brand_Acer,0.002276558477270013,Random Forest_target,price,feature_importance,0.002276558477270013
brand_Microsoft,0.0022184013418413014,Random Forest_target,price,feature_importance,0.0022184013418413014
storage_ssd,0.001776267310640864,Random Forest_target,price,feature_importance,0.001776267310640864
cpu_brand_Intel,0.0016834069678762476,Random Forest_target,price,feature_importance,0.0016834069678762476
ram_missing,0.0015212402410068706,Random Forest_target,price,feature_importance,0.0015212402410068706
