feature,importance,model_name,target_used,importance_type,abs_importance
no_info_cpu_tier,0.21935650595565243,Ridge_log_target,price,coefficient,0.21935650595565243
condition_score,0.20202394580976507,Ridge_log_target,price,coefficient,0.20202394580976507
cpu_family_ord_filled,0.1917702763533743,Ridge_log_target,price,coefficient,0.1917702763533743
cpu_tier_encoded,0.1748543054805159,Ridge_log_target,price,coefficient,0.1748543054805159
ram_gb,0.17016410501694978,Ridge_log_target,price,coefficient,0.17016410501694978
warranty_encoded,0.1630372613481887,Ridge_log_target,price,coefficient,0.1630372613481887
cpu_family_group_Intel Core i,-0.1566074675222256,Ridge_log_target,price,coefficient,0.1566074675222256
gpu_type_Dedicated,0.13644259066543787,Ridge_log_target,price,coefficient,0.13644259066543787
screen_size_inch,0.12657720405621578,Ridge_log_target,price,coefficient,0.12657720405621578
gpu_tier_ord_filled,-0.12525834619866047,Ridge_log_target,price,coefficient,0.12525834619866047
cpu_family_group_AMD Ryzen,-0.1077569153193508,Ridge_log_target,price,coefficient,0.1077569153193508
no_info_storage,0.10387376184289433,Ridge_log_target,price,coefficient,0.10387376184289433
storage_gb,0.10127448363308865,Ridge_log_target,price,coefficient,0.10127448363308865
storage_ssd,0.09815028010901428,Ridge_log_target,price,coefficient,0.09815028010901428
cpu_intel_generation_ord,0.07761304708667909,Ridge_log_target,price,coefficient,0.07761304708667909
screen_missing,0.06367452714748054,Ridge_log_target,price,coefficient,0.06367452714748054
brand_Apple,0.06207788920990208,Ridge_log_target,price,coefficient,0.06207788920990208
gpu_type_Missing_Info,-0.05887585551963397,Ridge_log_target,price,coefficient,0.05887585551963397
no_info_gpu,-0.0588758555192181,Ridge_log_target,price,coefficient,0.0588758555192181
gpu_type_Integrated,-0.05770115250391662,Ridge_log_target,price,coefficient,0.05770115250391662
cpu_family_group_Intel Core Ultra,-0.047836323989758796,Ridge_log_target,price,coefficient,0.047836323989758796
cpu_brand_AMD,0.04653285476915321,Ridge_log_target,price,coefficient,0.04653285476915321
cpu_brand_Intel,-0.04437957763288139,Ridge_log_target,price,coefficient,0.04437957763288139
model_Latitude E Series,-0.04166494618130686,Ridge_log_target,price,coefficient,0.04166494618130686
cpu_brand_Apple,0.039030616507176805,Ridge_log_target,price,coefficient,0.039030616507176805
gpu_type_Apple SoC,-0.03862886567912214,Ridge_log_target,price,coefficient,0.03862886567912214
model_MacBook Air,-0.036640835532385466,Ridge_log_target,price,coefficient,0.036640835532385466
brand_Microsoft,0.03602883249487086,Ridge_log_target,price,coefficient,0.03602883249487086
no_info_cpu_brand,-0.03464540861650526,Ridge_log_target,price,coefficient,0.03464540861650526
cpu_brand_Other,-0.03464540861650013,Ridge_log_target,price,coefficient,0.03464540861650013
brand_Dell,-0.032880033894516346,Ridge_log_target,price,coefficient,0.032880033894516346
brand_Sony,-0.03101978275147582,Ridge_log_target,price,coefficient,0.03101978275147582
model_Legion 5,0.029662198398986667,Ridge_log_target,price,coefficient,0.029662198398986667
model_X Series,-0.028837021861908927,Ridge_log_target,price,coefficient,0.028837021861908927
model_XPS 13,0.02774694784462372,Ridge_log_target,price,coefficient,0.02774694784462372
brand_Acer,-0.02720075972644098,Ridge_log_target,price,coefficient,0.02720075972644098
model_Nitro 5,0.02713642830497768,Ridge_log_target,price,coefficient,0.02713642830497768
ram_missing,0.025449961098126233,Ridge_log_target,price,coefficient,0.025449961098126233
cpu_family_group_Intel Low End,-0.02297968864305518,Ridge_log_target,price,coefficient,0.02297968864305518
brand_Toshiba,-0.022589741920454903,Ridge_log_target,price,coefficient,0.022589741920454903
model_Precision,0.021767203964704836,Ridge_log_target,price,coefficient,0.021767203964704836
brand_LG,0.021755956857146364,Ridge_log_target,price,coefficient,0.021755956857146364
model_Legion,0.02115377973362651,Ridge_log_target,price,coefficient,0.02115377973362651
cpu_amd_generation_ord,-0.020259425186903962,Ridge_log_target,price,coefficient,0.020259425186903962
model_MacBook Air M1,-0.01817818793888639,Ridge_log_target,price,coefficient,0.01817818793888639
model_ThinkPad X1 Carbon,0.01701019084401775,Ridge_log_target,price,coefficient,0.01701019084401775
brand_is_rare,-0.016699763420369797,Ridge_log_target,price,coefficient,0.016699763420369797
cpu_brand_Qualcomm,0.01649023458993966,Ridge_log_target,price,coefficient,0.01649023458993966
