feature,importance,model_name,target_used,importance_type,abs_importance
gpu_tier_ord_filled,4.569148254353607,Ridge_target,price,coefficient,4.569148254353607
ram_gb,4.446076379737675,Ridge_target,price,coefficient,4.446076379737675
cpu_family_ord_filled,4.012172655631273,Ridge_target,price,coefficient,4.012172655631273
storage_gb,3.984313367888987,Ridge_target,price,coefficient,3.984313367888987
cpu_family_group_Intel Core i,-3.508938172917132,Ridge_target,price,coefficient,3.508938172917132
condition_score,2.611571608006773,Ridge_target,price,coefficient,2.611571608006773
no_info_cpu_tier,2.4693322462531078,Ridge_target,price,coefficient,2.4693322462531078
cpu_tier_encoded,2.1961040046495794,Ridge_target,price,coefficient,2.1961040046495794
cpu_family_group_AMD Ryzen,-2.046413282898126,Ridge_target,price,coefficient,2.046413282898126
gpu_type_Dedicated,-1.7583905821096042,Ridge_target,price,coefficient,1.7583905821096042
warranty_encoded,1.5295938954317987,Ridge_target,price,coefficient,1.5295938954317987
storage_ssd,1.2520751596763415,Ridge_target,price,coefficient,1.2520751596763415
no_info_storage,1.146794251484826,Ridge_target,price,coefficient,1.146794251484826
cpu_suffix_power_ord_filled,1.0508727689090014,Ridge_target,price,coefficient,1.0508727689090014
gpu_type_Missing_Info,0.9789963163272638,Ridge_target,price,coefficient,0.9789963163272638
no_info_gpu,0.9789963163271926,Ridge_target,price,coefficient,0.9789963163271926
ram_missing,0.8188686120957659,Ridge_target,price,coefficient,0.8188686120957659
screen_missing,-0.7718196807448687,Ridge_target,price,coefficient,0.7718196807448687
storage_missing,0.7689059373832542,Ridge_target,price,coefficient,0.7689059373832542
brand_Apple,0.6976403655438407,Ridge_target,price,coefficient,0.6976403655438407
cpu_intel_generation_ord,0.6663202522073057,Ridge_target,price,coefficient,0.6663202522073057
cpu_brand_Apple,0.6561238075439235,Ridge_target,price,coefficient,0.6561238075439235
model_MacBook Air M1,-0.6177206772159478,Ridge_target,price,coefficient,0.6177206772159478
cpu_family_group_Intel Core Ultra,-0.5876435540878491,Ridge_target,price,coefficient,0.5876435540878491
gpu_type_Integrated,0.584638375170672,Ridge_target,price,coefficient,0.584638375170672
model_Legion 5,0.5065591119508852,Ridge_target,price,coefficient,0.5065591119508852
cpu_brand_Qualcomm,0.48533757802610406,Ridge_target,price,coefficient,0.48533757802610406
cpu_amd_generation_ord,-0.48121534669239013,Ridge_target,price,coefficient,0.48121534669239013
model_MacBook Pro,-0.4417151979124002,Ridge_target,price,coefficient,0.4417151979124002
cpu_brand_Intel,-0.4328737324018009,Ridge_target,price,coefficient,0.4328737324018009
brand_LG,0.42409345367188556,Ridge_target,price,coefficient,0.42409345367188556
brand_Lenovo,-0.4091018518068029,Ridge_target,price,coefficient,0.4091018518068029
model_MacBook Pro M1,-0.4064854684091867,Ridge_target,price,coefficient,0.4064854684091867
brand_Dell,-0.4053876073432802,Ridge_target,price,coefficient,0.4053876073432802
