model_name,model_type,target_used,evaluation_scale,mae,rmse,r2,mape,median_ae,max_error,train_time_sec,predict_time_sec
LightGBM,gradient_boosting,target_price,target_price,3.2245794645382704,5.336465796362892,0.8929515591928825,0.2733688741989442,1.8199940856684726,33.846028303459896,7.878922900010366,0.04937590000918135
CatBoost,gradient_boosting,target_price,target_price,3.3103716012606914,5.413634812220809,0.8898331839339132,0.2911762554346475,1.9471591166699693,40.737082267829656,1.8703061999985948,0.008327099960297346
LightGBM,gradient_boosting,log_target_price,target_price,3.2177689985050764,5.506857406165535,0.8860063793764152,0.25166037030204497,1.7537239706780645,43.158523318670404,4.850850099988747,0.015686900005675852
Random Forest,tree_ensemble,target_price,target_price,3.3196614739987536,5.582430424215031,0.8828561417961428,0.2903128164503365,1.8316268237115123,45.11673333333332,5.205045699956827,0.5749879000359215
CatBoost,gradient_boosting,log_target_price,target_price,3.3061872265264243,5.72753126880468,0.8766872953504098,0.25435866238285554,1.7230756425333391,40.086064331348766,1.5689774000202306,0.006901599990669638
Random Forest,tree_ensemble,log_target_price,target_price,3.3611119435125083,5.769588647620123,0.874869670929842,0.2704141443427757,1.8099798422376292,49.2344108571766,4.57903449999867,0.6576562999980524
Extra Trees,tree_ensemble,target_price,target_price,3.4129795517317114,5.806586521867689,0.8732597121847955,0.29626383731223255,1.9701199999999073,62.19795833333332,4.6145474999793805,0.4339828999945894
Extra Trees,tree_ensemble,log_target_price,target_price,3.38257680422009,5.888664554975016,0.8696513562046081,0.28041647536859493,1.8000000000000298,61.19353017763321,4.247242899960838,0.48641250003129244
Ridge,linear,target_price,target_price,4.294842615599522,6.880826856930445,0.822026990152604,0.3922270988590592,2.504016038242046,56.99954839616938,0.12926979997428134,0.008286199998110533
Lasso,linear,target_price,target_price,4.294346514638943,6.881885049730441,0.8219722454996674,0.3919964977967198,2.5056668378087075,57.01949768435757,2.9647614000132307,0.0055198000045493245
ElasticNet,linear,target_price,target_price,4.294299397879823,6.882382261260231,0.8219465198012044,0.39204202349789946,2.496054159055592,57.01744566707783,34.08253050001804,0.04022869997425005
Linear Regression,linear,target_price,target_price,4.309038810216048,6.901883502960357,0.8209360605870017,0.3947118153138029,2.574573991728492,57.1894177417285,0.8276291000074707,0.009920999989844859
Linear Regression,linear,log_target_price,target_price,5.308410854897372,21.4264034530191,-0.7257244103660183,0.3684857336424088,2.4506129872747984,658.4792455323119,1.0662909999955446,0.014519500022288412
Ridge,linear,log_target_price,target_price,5.281871215519498,21.439250107382843,-0.7277944200396387,0.36660082405495603,2.4397427764108546,661.8300469265447,0.08152790000895038,0.007032099994830787
ElasticNet,linear,log_target_price,target_price,5.284782641117226,21.65084613935642,-0.7620678736559725,0.3671918302297471,2.4393264083766937,668.2693145513588,2.253357000008691,0.014659899985417724
Lasso,linear,log_target_price,target_price,5.2943487921164,21.85277862380274,-0.7950899607525228,0.36812017682443676,2.459924373096394,674.5986288123935,2.7076770000276156,0.01010149996727705
