model_name,model_family,model_family_group,target_used,rmse,mae,r2,mape
CatBoost,CatBoost,Boosting,target_price,5.482668796037199,3.3708874265773,0.8870056031750053,0.3001381413148527
CatBoost,CatBoost,Boosting,log_target_price,5.740718825939275,3.336972207129124,0.8761187902110085,0.2620698288739145
LightGBM,LightGBM,Boosting,target_price,5.498080284880838,3.2903954452907707,0.8863694679427716,0.2816584849581715
LightGBM,LightGBM,Boosting,log_target_price,5.529972729464496,3.253466736833585,0.8850473824479749,0.2626856423207473
ElasticNet,ElasticNet,Linear,log_target_price,6.943652016400493,4.080683713166899,0.8187622001307021,0.3193969989722479
ElasticNet,ElasticNet,Linear,target_price,7.924643994647344,4.718709847403415,0.7639345616401072,0.4257758104923688
Lasso,Lasso,Linear,log_target_price,6.942537520305167,4.080703650824235,0.8188203748807095,0.3196124145931767
Lasso,Lasso,Linear,target_price,7.925033700358786,4.719685129824713,0.7639113433575739,0.4258699952576119
Linear Regression,Linear Regression,Linear,log_target_price,6.926038688234564,4.073571364352324,0.819680492739666,0.3190565431178264
Linear Regression,Linear Regression,Linear,target_price,7.933391687972587,4.724131668348905,0.763413107853351,0.427434405901031
Ridge,Ridge,Linear,log_target_price,6.960178250277927,4.08681591563627,0.8178984637001014,0.3192540433275852
Ridge,Ridge,Linear,target_price,7.9248626679770675,4.720131175851444,0.7639215334390439,0.4259545165228811
Extra Trees,Extra Trees,Tree Ensemble,target_price,5.938560212216959,3.544157580436593,0.8674330653760204,0.3094918120127138
Extra Trees,Extra Trees,Tree Ensemble,log_target_price,6.03166346014768,3.5166026267846187,0.8632437796405956,0.2935933573104951
Random Forest,Random Forest,Tree Ensemble,target_price,5.687029791255559,3.408452962570801,0.8784251080571819,0.3021344203467784
Random Forest,Random Forest,Tree Ensemble,log_target_price,5.845638210711046,3.413371326863326,0.8715492181732418,0.2830307412127657
