model_name,target_used,rmse,rmse_rank,mape,mape_rank,mae,mae_rank,r2,r2_rank
CatBoost,target_price,5.482668796037199,1,0.3001381413148527,6,3.3708874265773,4,0.8870056031750053,1
LightGBM,target_price,5.498080284880838,2,0.2816584849581715,3,3.2903954452907707,2,0.8863694679427716,2
LightGBM,log_target_price,5.529972729464496,3,0.2626856423207473,2,3.253466736833585,1,0.8850473824479749,3
Random Forest,target_price,5.687029791255559,4,0.3021344203467784,7,3.408452962570801,5,0.8784251080571819,4
CatBoost,log_target_price,5.740718825939275,5,0.2620698288739145,1,3.336972207129124,3,0.8761187902110085,5
Random Forest,log_target_price,5.845638210711046,6,0.2830307412127657,4,3.413371326863326,6,0.8715492181732418,6
Extra Trees,target_price,5.938560212216959,7,0.3094918120127138,8,3.544157580436593,8,0.8674330653760204,7
Extra Trees,log_target_price,6.03166346014768,8,0.2935933573104951,5,3.5166026267846187,7,0.8632437796405956,8
Linear Regression,log_target_price,6.926038688234564,9,0.3190565431178264,9,4.073571364352324,9,0.819680492739666,9
Lasso,log_target_price,6.942537520305167,10,0.3196124145931767,12,4.080703650824235,11,0.8188203748807095,10
ElasticNet,log_target_price,6.943652016400493,11,0.3193969989722479,11,4.080683713166899,10,0.8187622001307021,11
Ridge,log_target_price,6.960178250277927,12,0.3192540433275852,10,4.08681591563627,12,0.8178984637001014,12
ElasticNet,target_price,7.924643994647344,13,0.4257758104923688,13,4.718709847403415,13,0.7639345616401072,13
Ridge,target_price,7.9248626679770675,14,0.4259545165228811,15,4.720131175851444,15,0.7639215334390439,14
Lasso,target_price,7.925033700358786,15,0.4258699952576119,14,4.719685129824713,14,0.7639113433575739,15
Linear Regression,target_price,7.933391687972587,16,0.427434405901031,16,4.724131668348905,16,0.763413107853351,16
