model_name,model_family,model_family_group,target_used,rmse,mae,r2,mape
CatBoost,CatBoost,Boosting,target_price,5.413634812220809,3.3103716012606914,0.8898331839339132,0.2911762554346475
CatBoost,CatBoost,Boosting,log_target_price,5.72753126880468,3.3061872265264243,0.8766872953504098,0.2543586623828555
LightGBM,LightGBM,Boosting,target_price,5.336465796362892,3.2245794645382704,0.8929515591928825,0.2733688741989442
LightGBM,LightGBM,Boosting,log_target_price,5.506857406165535,3.2177689985050764,0.8860063793764152,0.2516603703020449
ElasticNet,ElasticNet,Linear,target_price,6.882382261260231,4.294299397879823,0.8219465198012044,0.3920420234978994
ElasticNet,ElasticNet,Linear,log_target_price,21.65084613935642,5.284782641117226,-0.7620678736559725,0.3671918302297471
Lasso,Lasso,Linear,target_price,6.881885049730441,4.294346514638943,0.8219722454996674,0.3919964977967198
Lasso,Lasso,Linear,log_target_price,21.85277862380274,5.2943487921164,-0.7950899607525228,0.3681201768244367
Linear Regression,Linear Regression,Linear,target_price,6.901883502960357,4.309038810216048,0.8209360605870017,0.3947118153138029
Linear Regression,Linear Regression,Linear,log_target_price,21.4264034530191,5.308410854897372,-0.7257244103660183,0.3684857336424088
Ridge,Ridge,Linear,target_price,6.880826856930445,4.294842615599522,0.822026990152604,0.3922270988590592
Ridge,Ridge,Linear,log_target_price,21.439250107382843,5.281871215519498,-0.7277944200396387,0.366600824054956
Extra Trees,Extra Trees,Tree Ensemble,target_price,5.806586521867689,3.4129795517317114,0.8732597121847955,0.2962638373122325
Extra Trees,Extra Trees,Tree Ensemble,log_target_price,5.888664554975016,3.38257680422009,0.8696513562046081,0.2804164753685949
Random Forest,Random Forest,Tree Ensemble,target_price,5.582430424215031,3.3196614739987536,0.8828561417961428,0.2903128164503365
Random Forest,Random Forest,Tree Ensemble,log_target_price,5.769588647620123,3.3611119435125083,0.874869670929842,0.2704141443427757
