feature,importance,model_name,target_used,importance_type,abs_importance
condition_score,20.915314509948598,CatBoost_log_target,price,feature_importance,20.915314509948598
warranty_not_activated,12.395935763032378,CatBoost_log_target,price,feature_importance,12.395935763032378
memory_storage_score,8.869941512898524,CatBoost_log_target,price,feature_importance,8.869941512898524
ram_storage_balance,7.129605028686076,CatBoost_log_target,price,feature_importance,7.129605028686076
ram_gb,6.996280882686107,CatBoost_log_target,price,feature_importance,6.996280882686107
ram_storage_product_scaled,6.58957235375107,CatBoost_log_target,price,feature_importance,6.58957235375107
storage_gb,4.120666938546657,CatBoost_log_target,price,feature_importance,4.120666938546657
cpu_tier_encoded,3.9938092701054937,CatBoost_log_target,price,feature_importance,3.9938092701054937
cpu_family_ord_filled,3.961417906624777,CatBoost_log_target,price,feature_importance,3.961417906624777
cpu_brand_Apple,2.972306534862555,CatBoost_log_target,price,feature_importance,2.972306534862555
gpu_tier_ord_filled,2.7716195647544595,CatBoost_log_target,price,feature_importance,2.7716195647544595
cpu_intel_generation_ord,2.41561102347324,CatBoost_log_target,price,feature_importance,2.41561102347324
cpu_family_group_Apple Silicon,2.1429373895326718,CatBoost_log_target,price,feature_importance,2.1429373895326718
screen_size_inch,1.8090288747675487,CatBoost_log_target,price,feature_importance,1.8090288747675487
brand_Apple,1.4845919619795305,CatBoost_log_target,price,feature_importance,1.4845919619795305
cpu_suffix_power_ord_filled,1.1945778379786085,CatBoost_log_target,price,feature_importance,1.1945778379786085
brand_segment_premium,1.1932197590642297,CatBoost_log_target,price,feature_importance,1.1932197590642297
is_mid_memory_storage,1.0676164065655043,CatBoost_log_target,price,feature_importance,1.0676164065655043
cpu_brand_Intel,1.0171186702186088,CatBoost_log_target,price,feature_importance,1.0171186702186088
storage_hdd,0.6784820661546567,CatBoost_log_target,price,feature_importance,0.6784820661546567
is_entry_memory_storage,0.5856084631383068,CatBoost_log_target,price,feature_importance,0.5856084631383068
no_info_cpu_tier,0.4011566739330265,CatBoost_log_target,price,feature_importance,0.4011566739330265
brand_Microsoft,0.30502939855793265,CatBoost_log_target,price,feature_importance,0.30502939855793265
warranty_expired,0.30346946382853596,CatBoost_log_target,price,feature_importance,0.30346946382853596
is_premium_memory_storage,0.28942304065721863,CatBoost_log_target,price,feature_importance,0.28942304065721863
cpu_family_group_Intel Core i,0.28733533821512014,CatBoost_log_target,price,feature_importance,0.28733533821512014
warranty_active,0.2461728828012824,CatBoost_log_target,price,feature_importance,0.2461728828012824
brand_Lenovo,0.24488146462324878,CatBoost_log_target,price,feature_importance,0.24488146462324878
no_info_storage,0.22538800234489467,CatBoost_log_target,price,feature_importance,0.22538800234489467
ram_missing,0.22161074135655803,CatBoost_log_target,price,feature_importance,0.22161074135655803
cpu_brand_AMD,0.21606668734452186,CatBoost_log_target,price,feature_importance,0.21606668734452186
cpu_family_group_Intel Core Ultra,0.2102872539471811,CatBoost_log_target,price,feature_importance,0.2102872539471811
brand_Acer,0.15708264987501477,CatBoost_log_target,price,feature_importance,0.15708264987501477
model_Latitude E Series,0.15388720098507364,CatBoost_log_target,price,feature_importance,0.15388720098507364
model_MacBook Pro,0.14994838684101408,CatBoost_log_target,price,feature_importance,0.14994838684101408
model_Legion 5,0.1492870302947504,CatBoost_log_target,price,feature_importance,0.1492870302947504
brand_Dell,0.14356063847861175,CatBoost_log_target,price,feature_importance,0.14356063847861175
brand_segment_gaming_value,0.1396715360240254,CatBoost_log_target,price,feature_importance,0.1396715360240254
no_info_gpu,0.12750982941633185,CatBoost_log_target,price,feature_importance,0.12750982941633185
brand_segment_rare,0.12240666883975661,CatBoost_log_target,price,feature_importance,0.12240666883975661
cpu_amd_generation_ord,0.1196272066217184,CatBoost_log_target,price,feature_importance,0.1196272066217184
brand_segment_business,0.10247104369217715,CatBoost_log_target,price,feature_importance,0.10247104369217715
model_XPS 13,0.10026295470662934,CatBoost_log_target,price,feature_importance,0.10026295470662934
no_info_brand,0.09499024235936777,CatBoost_log_target,price,feature_importance,0.09499024235936777
brand_HP,0.08921912571433241,CatBoost_log_target,price,feature_importance,0.08921912571433241
brand_is_rare,0.08775521162452656,CatBoost_log_target,price,feature_importance,0.08775521162452656
no_info_model,0.08587991042121612,CatBoost_log_target,price,feature_importance,0.08587991042121612
storage_ssd,0.08551097115935803,CatBoost_log_target,price,feature_importance,0.08551097115935803
brand_MSI,0.08412152534288994,CatBoost_log_target,price,feature_importance,0.08412152534288994
storage_missing,0.07090893730942355,CatBoost_log_target,price,feature_importance,0.07090893730942355
model_Nitro 5,0.06995094991121958,CatBoost_log_target,price,feature_importance,0.06995094991121958
model_ThinkPad,0.06722740754265123,CatBoost_log_target,price,feature_importance,0.06722740754265123
model_MacBook Air M1,0.04975209411992283,CatBoost_log_target,price,feature_importance,0.04975209411992283
model_MacBook Air,0.04267095143347016,CatBoost_log_target,price,feature_importance,0.04267095143347016
model_X Series,0.04102319125229099,CatBoost_log_target,price,feature_importance,0.04102319125229099
model_TUF Gaming F15,0.04020542603612115,CatBoost_log_target,price,feature_importance,0.04020542603612115
model_Precision,0.03968461090339014,CatBoost_log_target,price,feature_importance,0.03968461090339014
no_info_cpu_brand,0.03916738610099857,CatBoost_log_target,price,feature_importance,0.03916738610099857
model_Legion,0.034165837187565634,CatBoost_log_target,price,feature_importance,0.034165837187565634
model_is_rare,0.029769191015099915,CatBoost_log_target,price,feature_importance,0.029769191015099915
model_ROG Strix,0.023995535890555354,CatBoost_log_target,price,feature_importance,0.023995535890555354
model_Gaming Thin GF,0.021870734033333457,CatBoost_log_target,price,feature_importance,0.021870734033333457
model_TUF Gaming,0.021573707233173985,CatBoost_log_target,price,feature_importance,0.021573707233173985
model_Latitude,0.01876137676956123,CatBoost_log_target,price,feature_importance,0.01876137676956123
cpu_family_group_Intel Low End,0.017451129418097146,CatBoost_log_target,price,feature_importance,0.017451129418097146
cpu_brand_Qualcomm,0.017345627003017637,CatBoost_log_target,price,feature_importance,0.017345627003017637
cpu_family_group_AMD Ryzen,0.016644096678144257,CatBoost_log_target,price,feature_importance,0.016644096678144257
model_Elitebook,0.013114990876371123,CatBoost_log_target,price,feature_importance,0.013114990876371123
model_ThinkPad X1 Carbon,0.01251095179793176,CatBoost_log_target,price,feature_importance,0.01251095179793176
brand_ASUS,0.012192768700345288,CatBoost_log_target,price,feature_importance,0.012192768700345288
model_Inspiron,0.012119995874257073,CatBoost_log_target,price,feature_importance,0.012119995874257073
brand_LG,0.010957596152473706,CatBoost_log_target,price,feature_importance,0.010957596152473706
model_Vostro,0.006713246302877656,CatBoost_log_target,price,feature_importance,0.006713246302877656
model_Pavilion 15,0.005463179436506585,CatBoost_log_target,price,feature_importance,0.005463179436506585
model_Aspire,0.005352779348287397,CatBoost_log_target,price,feature_importance,0.005352779348287397
screen_missing,0.004908608659816832,CatBoost_log_target,price,feature_importance,0.004908608659816832
model_ProBook,0.0025941373452334692,CatBoost_log_target,price,feature_importance,0.0025941373452334692
model_MacBook Pro M2,0.0019540044959171668,CatBoost_log_target,price,feature_importance,0.0019540044959171668
model_MacBook Air M2,0.0004957412378298391,CatBoost_log_target,price,feature_importance,0.0004957412378298391
model_Macbook air m4,0.00017801115817567926,CatBoost_log_target,price,feature_importance,0.00017801115817567926
cpu_apple_core_spec,0.0,CatBoost_log_target,price,feature_importance,0.0
model_Elitebook 800,0.0,CatBoost_log_target,price,feature_importance,0.0
model_IdeaPad,0.0,CatBoost_log_target,price,feature_importance,0.0
model_Latitude 14 7000,0.0,CatBoost_log_target,price,feature_importance,0.0
model_Vivobook 15,0.0,CatBoost_log_target,price,feature_importance,0.0
model_MacBook Pro M1,0.0,CatBoost_log_target,price,feature_importance,0.0
