feature,importance,model_name,target_used,importance_type,abs_importance
condition_score,14.851254367290164,CatBoost_target,price,feature_importance,14.851254367290164
warranty_not_activated,10.337556073435252,CatBoost_target,price,feature_importance,10.337556073435252
memory_storage_score,8.988926631805924,CatBoost_target,price,feature_importance,8.988926631805924
ram_storage_product_scaled,7.75032007125624,CatBoost_target,price,feature_importance,7.75032007125624
cpu_family_ord_filled,7.215639634015664,CatBoost_target,price,feature_importance,7.215639634015664
cpu_tier_encoded,6.32859580345637,CatBoost_target,price,feature_importance,6.32859580345637
ram_storage_balance,5.846882091522696,CatBoost_target,price,feature_importance,5.846882091522696
ram_gb,5.829820875524363,CatBoost_target,price,feature_importance,5.829820875524363
gpu_tier_ord_filled,5.384092153288474,CatBoost_target,price,feature_importance,5.384092153288474
cpu_intel_generation_ord,4.48117553388988,CatBoost_target,price,feature_importance,4.48117553388988
storage_gb,3.2301360184154984,CatBoost_target,price,feature_importance,3.2301360184154984
screen_size_inch,2.805972372533345,CatBoost_target,price,feature_importance,2.805972372533345
cpu_suffix_power_ord_filled,2.298851581296517,CatBoost_target,price,feature_importance,2.298851581296517
cpu_brand_Apple,1.9644510486150033,CatBoost_target,price,feature_importance,1.9644510486150033
cpu_family_group_Apple Silicon,1.8530255297568403,CatBoost_target,price,feature_importance,1.8530255297568403
brand_segment_premium,1.2206510878160328,CatBoost_target,price,feature_importance,1.2206510878160328
brand_segment_business,0.9572004255096159,CatBoost_target,price,feature_importance,0.9572004255096159
cpu_family_group_Intel Core Ultra,0.8653189095348583,CatBoost_target,price,feature_importance,0.8653189095348583
is_mid_memory_storage,0.8525652170858782,CatBoost_target,price,feature_importance,0.8525652170858782
cpu_brand_Intel,0.7878747598834179,CatBoost_target,price,feature_importance,0.7878747598834179
no_info_cpu_tier,0.7661944484266471,CatBoost_target,price,feature_importance,0.7661944484266471
brand_Lenovo,0.5034878340434336,CatBoost_target,price,feature_importance,0.5034878340434336
brand_Dell,0.3922789998594133,CatBoost_target,price,feature_importance,0.3922789998594133
cpu_family_group_Intel Core i,0.39131323923157024,CatBoost_target,price,feature_importance,0.39131323923157024
brand_HP,0.3283304286309446,CatBoost_target,price,feature_importance,0.3283304286309446
brand_Apple,0.319627577709274,CatBoost_target,price,feature_importance,0.319627577709274
cpu_amd_generation_ord,0.31136313381650776,CatBoost_target,price,feature_importance,0.31136313381650776
brand_Microsoft,0.2861536978563656,CatBoost_target,price,feature_importance,0.2861536978563656
is_entry_memory_storage,0.27380802048722247,CatBoost_target,price,feature_importance,0.27380802048722247
brand_segment_gaming_value,0.2557176761007789,CatBoost_target,price,feature_importance,0.2557176761007789
is_premium_memory_storage,0.2416300954375732,CatBoost_target,price,feature_importance,0.2416300954375732
storage_hdd,0.19110204606512396,CatBoost_target,price,feature_importance,0.19110204606512396
brand_Acer,0.15972230144396748,CatBoost_target,price,feature_importance,0.15972230144396748
no_info_model,0.14812304979539864,CatBoost_target,price,feature_importance,0.14812304979539864
no_info_gpu,0.14100701677550845,CatBoost_target,price,feature_importance,0.14100701677550845
model_Legion 5,0.12679949215405442,CatBoost_target,price,feature_importance,0.12679949215405442
brand_ASUS,0.1189792597422279,CatBoost_target,price,feature_importance,0.1189792597422279
warranty_expired,0.10939115755169462,CatBoost_target,price,feature_importance,0.10939115755169462
cpu_family_group_AMD Ryzen,0.10347593433624012,CatBoost_target,price,feature_importance,0.10347593433624012
ram_missing,0.09249614350054554,CatBoost_target,price,feature_importance,0.09249614350054554
storage_ssd,0.08697034582971994,CatBoost_target,price,feature_importance,0.08697034582971994
model_MacBook Pro,0.0864846409483702,CatBoost_target,price,feature_importance,0.0864846409483702
brand_MSI,0.07976790282250779,CatBoost_target,price,feature_importance,0.07976790282250779
no_info_brand,0.07499880933949127,CatBoost_target,price,feature_importance,0.07499880933949127
brand_LG,0.07186712730458841,CatBoost_target,price,feature_importance,0.07186712730458841
cpu_brand_Qualcomm,0.06538211074252175,CatBoost_target,price,feature_importance,0.06538211074252175
no_info_cpu_brand,0.05680169463845806,CatBoost_target,price,feature_importance,0.05680169463845806
cpu_brand_AMD,0.05333540827452185,CatBoost_target,price,feature_importance,0.05333540827452185
model_XPS 13,0.0480257602367244,CatBoost_target,price,feature_importance,0.0480257602367244
cpu_family_group_Intel Low End,0.03363735567507983,CatBoost_target,price,feature_importance,0.03363735567507983
warranty_active,0.03346785181429378,CatBoost_target,price,feature_importance,0.03346785181429378
cpu_apple_core_spec,0.03060728379224185,CatBoost_target,price,feature_importance,0.03060728379224185
model_MacBook Air M1,0.029782061997135404,CatBoost_target,price,feature_importance,0.029782061997135404
brand_segment_rare,0.027516236952041216,CatBoost_target,price,feature_importance,0.027516236952041216
model_Legion,0.02595550124212096,CatBoost_target,price,feature_importance,0.02595550124212096
model_ROG Strix,0.014628756611490587,CatBoost_target,price,feature_importance,0.014628756611490587
model_ThinkPad,0.014220145285484001,CatBoost_target,price,feature_importance,0.014220145285484001
brand_is_rare,0.010293400396215303,CatBoost_target,price,feature_importance,0.010293400396215303
model_Precision,0.009784456782597978,CatBoost_target,price,feature_importance,0.009784456782597978
no_info_storage,0.008391775137435635,CatBoost_target,price,feature_importance,0.008391775137435635
model_Latitude E Series,0.008176053249128712,CatBoost_target,price,feature_importance,0.008176053249128712
model_Nitro 5,0.006230954964899701,CatBoost_target,price,feature_importance,0.006230954964899701
model_TUF Gaming,0.005078732380229049,CatBoost_target,price,feature_importance,0.005078732380229049
model_Macbook air m4,0.0038862995214178505,CatBoost_target,price,feature_importance,0.0038862995214178505
model_ThinkPad X1 Carbon,0.0017482582275825606,CatBoost_target,price,feature_importance,0.0017482582275825606
model_is_rare,0.0016399955030319368,CatBoost_target,price,feature_importance,0.0016399955030319368
model_Latitude 14 7000,9.341434167316676e-06,CatBoost_target,price,feature_importance,9.341434167316676e-06
model_Elitebook,0.0,CatBoost_target,price,feature_importance,0.0
model_Elitebook 800,0.0,CatBoost_target,price,feature_importance,0.0
screen_missing,0.0,CatBoost_target,price,feature_importance,0.0
model_Aspire,0.0,CatBoost_target,price,feature_importance,0.0
model_IdeaPad,0.0,CatBoost_target,price,feature_importance,0.0
storage_missing,0.0,CatBoost_target,price,feature_importance,0.0
model_Gaming Thin GF,0.0,CatBoost_target,price,feature_importance,0.0
model_Vivobook 15,0.0,CatBoost_target,price,feature_importance,0.0
model_Inspiron,0.0,CatBoost_target,price,feature_importance,0.0
model_Latitude,0.0,CatBoost_target,price,feature_importance,0.0
model_Vostro,0.0,CatBoost_target,price,feature_importance,0.0
model_MacBook Air,0.0,CatBoost_target,price,feature_importance,0.0
model_MacBook Air M2,0.0,CatBoost_target,price,feature_importance,0.0
model_MacBook Pro M1,0.0,CatBoost_target,price,feature_importance,0.0
model_Pavilion 15,0.0,CatBoost_target,price,feature_importance,0.0
model_ProBook,0.0,CatBoost_target,price,feature_importance,0.0
model_TUF Gaming F15,0.0,CatBoost_target,price,feature_importance,0.0
model_X Series,0.0,CatBoost_target,price,feature_importance,0.0
model_MacBook Pro M2,0.0,CatBoost_target,price,feature_importance,0.0
