feature,importance,model_name,target_used,importance_type,abs_importance
memory_storage_score,0.6394928257689528,ElasticNet_log_target,price,coefficient,0.6394928257689528
warranty_not_activated,0.43848646145382164,ElasticNet_log_target,price,coefficient,0.43848646145382164
storage_missing,0.35548218711188717,ElasticNet_log_target,price,coefficient,0.35548218711188717
ram_missing,0.1821556303029298,ElasticNet_log_target,price,coefficient,0.1821556303029298
no_info_cpu_tier,0.15013075449470975,ElasticNet_log_target,price,coefficient,0.15013075449470975
cpu_family_ord_filled,0.14045832529020072,ElasticNet_log_target,price,coefficient,0.14045832529020072
cpu_intel_generation_ord,-0.13475646590849977,ElasticNet_log_target,price,coefficient,0.13475646590849977
cpu_amd_generation_ord,-0.12391496640680293,ElasticNet_log_target,price,coefficient,0.12391496640680293
condition_score,0.11514645706897926,ElasticNet_log_target,price,coefficient,0.11514645706897926
cpu_family_group_Intel Core i,-0.11203088723561272,ElasticNet_log_target,price,coefficient,0.11203088723561272
cpu_tier_encoded,0.11010575991079165,ElasticNet_log_target,price,coefficient,0.11010575991079165
cpu_apple_core_spec,-0.0988474006978203,ElasticNet_log_target,price,coefficient,0.0988474006978203
no_info_storage,0.09250505923041245,ElasticNet_log_target,price,coefficient,0.09250505923041245
gpu_tier_ord_filled,0.08900893134895833,ElasticNet_log_target,price,coefficient,0.08900893134895833
storage_ssd,0.08392395445845542,ElasticNet_log_target,price,coefficient,0.08392395445845542
cpu_family_group_AMD Ryzen,-0.07903095138885838,ElasticNet_log_target,price,coefficient,0.07903095138885838
ram_storage_balance,0.05757313725534977,ElasticNet_log_target,price,coefficient,0.05757313725534977
ram_gb,-0.055369306860985484,ElasticNet_log_target,price,coefficient,0.055369306860985484
cpu_brand_Apple,0.05420296491977337,ElasticNet_log_target,price,coefficient,0.05420296491977337
cpu_brand_AMD,0.05279105033293043,ElasticNet_log_target,price,coefficient,0.05279105033293043
screen_size_inch,0.05140138673251823,ElasticNet_log_target,price,coefficient,0.05140138673251823
brand_segment_premium,0.03879038222971236,ElasticNet_log_target,price,coefficient,0.03879038222971236
warranty_expired,-0.0369400937301805,ElasticNet_log_target,price,coefficient,0.0369400937301805
cpu_family_group_Apple Silicon,0.03529546155065197,ElasticNet_log_target,price,coefficient,0.03529546155065197
no_info_cpu_brand,-0.03297981783734284,ElasticNet_log_target,price,coefficient,0.03297981783734284
model_Latitude E Series,-0.032030427795884615,ElasticNet_log_target,price,coefficient,0.032030427795884615
cpu_suffix_power_ord_filled,-0.03055867320908071,ElasticNet_log_target,price,coefficient,0.03055867320908071
cpu_family_group_Intel Low End,-0.029960795831899346,ElasticNet_log_target,price,coefficient,0.029960795831899346
model_Legion 5,0.02891507757022141,ElasticNet_log_target,price,coefficient,0.02891507757022141
brand_LG,0.02676557845902465,ElasticNet_log_target,price,coefficient,0.02676557845902465
brand_Acer,-0.02502095498769212,ElasticNet_log_target,price,coefficient,0.02502095498769212
brand_is_rare,-0.02392759278534176,ElasticNet_log_target,price,coefficient,0.02392759278534176
is_premium_memory_storage,-0.02306625670936853,ElasticNet_log_target,price,coefficient,0.02306625670936853
model_XPS 13,0.02228815658398812,ElasticNet_log_target,price,coefficient,0.02228815658398812
cpu_family_group_Intel Core Ultra,-0.021072483849337183,ElasticNet_log_target,price,coefficient,0.021072483849337183
cpu_brand_Qualcomm,-0.020001584741298525,ElasticNet_log_target,price,coefficient,0.020001584741298525
brand_segment_rare,-0.019202554712864917,ElasticNet_log_target,price,coefficient,0.019202554712864917
model_Nitro 5,0.018784723811458084,ElasticNet_log_target,price,coefficient,0.018784723811458084
brand_Dell,-0.01815291775444974,ElasticNet_log_target,price,coefficient,0.01815291775444974
ram_storage_product_scaled,-0.01805148767080484,ElasticNet_log_target,price,coefficient,0.01805148767080484
storage_hdd,-0.017012686938717162,ElasticNet_log_target,price,coefficient,0.017012686938717162
model_X Series,-0.01690368965577436,ElasticNet_log_target,price,coefficient,0.01690368965577436
model_Legion,0.016078590324589397,ElasticNet_log_target,price,coefficient,0.016078590324589397
is_entry_memory_storage,-0.015538436110053924,ElasticNet_log_target,price,coefficient,0.015538436110053924
brand_Microsoft,0.015532570353735009,ElasticNet_log_target,price,coefficient,0.015532570353735009
model_MacBook Pro,-0.014433611458748411,ElasticNet_log_target,price,coefficient,0.014433611458748411
model_ThinkPad,-0.011314848886215015,ElasticNet_log_target,price,coefficient,0.011314848886215015
model_Inspiron,-0.011116218933277439,ElasticNet_log_target,price,coefficient,0.011116218933277439
