feature,importance,model_name,target_used,importance_type,abs_importance
is_mid_memory_storage,0.3349891136935865,Extra Trees_log_target,price,feature_importance,0.3349891136935865
warranty_not_activated,0.16286100398619352,Extra Trees_log_target,price,feature_importance,0.16286100398619352
condition_score,0.08690091600597813,Extra Trees_log_target,price,feature_importance,0.08690091600597813
ram_storage_balance,0.03838585735544087,Extra Trees_log_target,price,feature_importance,0.03838585735544087
memory_storage_score,0.034480821517224536,Extra Trees_log_target,price,feature_importance,0.034480821517224536
is_entry_memory_storage,0.02644784523135966,Extra Trees_log_target,price,feature_importance,0.02644784523135966
ram_storage_product_scaled,0.025525966875288453,Extra Trees_log_target,price,feature_importance,0.025525966875288453
cpu_brand_Apple,0.025252226911618925,Extra Trees_log_target,price,feature_importance,0.025252226911618925
cpu_family_ord_filled,0.0208918911507672,Extra Trees_log_target,price,feature_importance,0.0208918911507672
cpu_tier_encoded,0.020693175779966988,Extra Trees_log_target,price,feature_importance,0.020693175779966988
gpu_tier_ord_filled,0.01701570832371379,Extra Trees_log_target,price,feature_importance,0.01701570832371379
storage_gb,0.015806622262421112,Extra Trees_log_target,price,feature_importance,0.015806622262421112
screen_size_inch,0.014300085727410393,Extra Trees_log_target,price,feature_importance,0.014300085727410393
cpu_family_group_Apple Silicon,0.014234135694011925,Extra Trees_log_target,price,feature_importance,0.014234135694011925
is_premium_memory_storage,0.014108992581730425,Extra Trees_log_target,price,feature_importance,0.014108992581730425
ram_gb,0.013220273274815442,Extra Trees_log_target,price,feature_importance,0.013220273274815442
storage_hdd,0.011038316973958974,Extra Trees_log_target,price,feature_importance,0.011038316973958974
brand_segment_premium,0.011002937391866594,Extra Trees_log_target,price,feature_importance,0.011002937391866594
no_info_cpu_tier,0.006514396115396726,Extra Trees_log_target,price,feature_importance,0.006514396115396726
brand_Lenovo,0.005528101707422585,Extra Trees_log_target,price,feature_importance,0.005528101707422585
cpu_intel_generation_ord,0.005308576377301115,Extra Trees_log_target,price,feature_importance,0.005308576377301115
brand_Dell,0.004408701706055374,Extra Trees_log_target,price,feature_importance,0.004408701706055374
cpu_suffix_power_ord_filled,0.004283574368697118,Extra Trees_log_target,price,feature_importance,0.004283574368697118
brand_segment_business,0.004137555748453448,Extra Trees_log_target,price,feature_importance,0.004137555748453448
no_info_gpu,0.003980717264549205,Extra Trees_log_target,price,feature_importance,0.003980717264549205
cpu_family_group_Intel Core i,0.0036197457070262632,Extra Trees_log_target,price,feature_importance,0.0036197457070262632
brand_HP,0.00361431086072957,Extra Trees_log_target,price,feature_importance,0.00361431086072957
no_info_model,0.003603399727321077,Extra Trees_log_target,price,feature_importance,0.003603399727321077
screen_missing,0.0035691015398507347,Extra Trees_log_target,price,feature_importance,0.0035691015398507347
storage_ssd,0.003549803940780274,Extra Trees_log_target,price,feature_importance,0.003549803940780274
brand_Apple,0.0033367821716773077,Extra Trees_log_target,price,feature_importance,0.0033367821716773077
cpu_family_group_Intel Low End,0.0032662757705074308,Extra Trees_log_target,price,feature_importance,0.0032662757705074308
cpu_brand_AMD,0.0027252794655172013,Extra Trees_log_target,price,feature_importance,0.0027252794655172013
cpu_family_group_Intel Core Ultra,0.0026287522950819795,Extra Trees_log_target,price,feature_importance,0.0026287522950819795
brand_ASUS,0.002570976814913412,Extra Trees_log_target,price,feature_importance,0.002570976814913412
cpu_brand_Intel,0.002551632510045645,Extra Trees_log_target,price,feature_importance,0.002551632510045645
ram_missing,0.0025053254080988174,Extra Trees_log_target,price,feature_importance,0.0025053254080988174
brand_Acer,0.002389081506595378,Extra Trees_log_target,price,feature_importance,0.002389081506595378
no_info_storage,0.002347808960658695,Extra Trees_log_target,price,feature_importance,0.002347808960658695
model_is_rare,0.0022739258798939936,Extra Trees_log_target,price,feature_importance,0.0022739258798939936
brand_segment_gaming_value,0.0022416743092978585,Extra Trees_log_target,price,feature_importance,0.0022416743092978585
warranty_active,0.0021628034638034466,Extra Trees_log_target,price,feature_importance,0.0021628034638034466
warranty_expired,0.0018381116520249721,Extra Trees_log_target,price,feature_importance,0.0018381116520249721
brand_MSI,0.0016491924840674292,Extra Trees_log_target,price,feature_importance,0.0016491924840674292
no_info_cpu_brand,0.0016457473720531044,Extra Trees_log_target,price,feature_importance,0.0016457473720531044
model_MacBook Pro,0.00163669094027102,Extra Trees_log_target,price,feature_importance,0.00163669094027102
no_info_brand,0.0014459378824187494,Extra Trees_log_target,price,feature_importance,0.0014459378824187494
model_Latitude E Series,0.001400398542577367,Extra Trees_log_target,price,feature_importance,0.001400398542577367
cpu_amd_generation_ord,0.00133102018970858,Extra Trees_log_target,price,feature_importance,0.00133102018970858
cpu_family_group_AMD Ryzen,0.001326449639525628,Extra Trees_log_target,price,feature_importance,0.001326449639525628
brand_Microsoft,0.0012633666376078143,Extra Trees_log_target,price,feature_importance,0.0012633666376078143
model_Inspiron,0.001189334503928027,Extra Trees_log_target,price,feature_importance,0.001189334503928027
