feature,importance,model_name,target_used,importance_type,abs_importance
is_premium_memory_storage,0.2532640803543256,Extra Trees_target,price,feature_importance,0.2532640803543256
warranty_not_activated,0.10286268882628145,Extra Trees_target,price,feature_importance,0.10286268882628145
condition_score,0.08521076395437946,Extra Trees_target,price,feature_importance,0.08521076395437946
memory_storage_score,0.07721403973978756,Extra Trees_target,price,feature_importance,0.07721403973978756
is_mid_memory_storage,0.06984127714491314,Extra Trees_target,price,feature_importance,0.06984127714491314
cpu_tier_encoded,0.043498747123538406,Extra Trees_target,price,feature_importance,0.043498747123538406
ram_storage_balance,0.041461761292833875,Extra Trees_target,price,feature_importance,0.041461761292833875
cpu_family_ord_filled,0.03856352791670766,Extra Trees_target,price,feature_importance,0.03856352791670766
ram_storage_product_scaled,0.03351283301799146,Extra Trees_target,price,feature_importance,0.03351283301799146
storage_gb,0.028870050054432186,Extra Trees_target,price,feature_importance,0.028870050054432186
ram_gb,0.027285912996908825,Extra Trees_target,price,feature_importance,0.027285912996908825
gpu_tier_ord_filled,0.02542736231437417,Extra Trees_target,price,feature_importance,0.02542736231437417
screen_size_inch,0.017245797262005494,Extra Trees_target,price,feature_importance,0.017245797262005494
cpu_intel_generation_ord,0.012203111682697486,Extra Trees_target,price,feature_importance,0.012203111682697486
cpu_family_group_Apple Silicon,0.011912996900412988,Extra Trees_target,price,feature_importance,0.011912996900412988
cpu_brand_Apple,0.010716480481561019,Extra Trees_target,price,feature_importance,0.010716480481561019
brand_Lenovo,0.010317993593065027,Extra Trees_target,price,feature_importance,0.010317993593065027
brand_segment_premium,0.010067400507917313,Extra Trees_target,price,feature_importance,0.010067400507917313
cpu_suffix_power_ord_filled,0.007587864364211663,Extra Trees_target,price,feature_importance,0.007587864364211663
is_entry_memory_storage,0.007355725911945475,Extra Trees_target,price,feature_importance,0.007355725911945475
brand_Dell,0.007249145762358256,Extra Trees_target,price,feature_importance,0.007249145762358256
cpu_family_group_Intel Core Ultra,0.007048338342942314,Extra Trees_target,price,feature_importance,0.007048338342942314
brand_HP,0.006039923758087279,Extra Trees_target,price,feature_importance,0.006039923758087279
