feature,importance,model_name,target_used,importance_type,abs_importance
memory_storage_score,0.6217149963866138,Lasso_log_target,price,coefficient,0.6217149963866138
warranty_not_activated,0.4213094737671137,Lasso_log_target,price,coefficient,0.4213094737671137
storage_missing,0.34468954513513034,Lasso_log_target,price,coefficient,0.34468954513513034
ram_missing,0.17779250347999953,Lasso_log_target,price,coefficient,0.17779250347999953
no_info_cpu_tier,0.15219525359085584,Lasso_log_target,price,coefficient,0.15219525359085584
cpu_intel_generation_ord,-0.12214361272484339,Lasso_log_target,price,coefficient,0.12214361272484339
cpu_family_ord_filled,0.12096687089539876,Lasso_log_target,price,coefficient,0.12096687089539876
cpu_amd_generation_ord,-0.11734987157462445,Lasso_log_target,price,coefficient,0.11734987157462445
condition_score,0.11574594641274905,Lasso_log_target,price,coefficient,0.11574594641274905
cpu_tier_encoded,0.11493395669788098,Lasso_log_target,price,coefficient,0.11493395669788098
cpu_family_group_Intel Core i,-0.09337346174844194,Lasso_log_target,price,coefficient,0.09337346174844194
cpu_apple_core_spec,-0.09310875633291348,Lasso_log_target,price,coefficient,0.09310875633291348
gpu_tier_ord_filled,0.08684186788222566,Lasso_log_target,price,coefficient,0.08684186788222566
no_info_storage,0.07969328668995276,Lasso_log_target,price,coefficient,0.07969328668995276
storage_ssd,0.06971676856493815,Lasso_log_target,price,coefficient,0.06971676856493815
cpu_family_group_AMD Ryzen,-0.06655932914449007,Lasso_log_target,price,coefficient,0.06655932914449007
cpu_brand_Apple,0.05477226295745147,Lasso_log_target,price,coefficient,0.05477226295745147
cpu_brand_AMD,0.050707908463895265,Lasso_log_target,price,coefficient,0.050707908463895265
ram_storage_balance,0.04918481941678015,Lasso_log_target,price,coefficient,0.04918481941678015
screen_size_inch,0.04869342774692416,Lasso_log_target,price,coefficient,0.04869342774692416
cpu_family_group_Apple Silicon,0.04576581011146719,Lasso_log_target,price,coefficient,0.04576581011146719
ram_gb,-0.045549127742320714,Lasso_log_target,price,coefficient,0.045549127742320714
warranty_expired,-0.03669559214244467,Lasso_log_target,price,coefficient,0.03669559214244467
brand_segment_premium,0.03632468493785904,Lasso_log_target,price,coefficient,0.03632468493785904
brand_is_rare,-0.03311229357043382,Lasso_log_target,price,coefficient,0.03311229357043382
model_Latitude E Series,-0.0320076354205491,Lasso_log_target,price,coefficient,0.0320076354205491
no_info_cpu_brand,-0.030868403918148157,Lasso_log_target,price,coefficient,0.030868403918148157
model_Legion 5,0.028891624924819483,Lasso_log_target,price,coefficient,0.028891624924819483
cpu_suffix_power_ord_filled,-0.02695384740583951,Lasso_log_target,price,coefficient,0.02695384740583951
brand_LG,0.026444436323773562,Lasso_log_target,price,coefficient,0.026444436323773562
cpu_family_group_Intel Low End,-0.02607138388499532,Lasso_log_target,price,coefficient,0.02607138388499532
