feature,importance,model_name,target_used,importance_type,abs_importance
ram_gb,6.040329440871013,Lasso_target,price,coefficient,6.040329440871013
memory_storage_score,-5.107774667212116,Lasso_target,price,coefficient,5.107774667212116
storage_gb,5.083489231776762,Lasso_target,price,coefficient,5.083489231776762
cpu_family_ord_filled,4.131775066570837,Lasso_target,price,coefficient,4.131775066570837
cpu_family_group_Intel Core i,-3.7464143494699202,Lasso_target,price,coefficient,3.7464143494699202
warranty_active,-3.4188474046762547,Lasso_target,price,coefficient,3.4188474046762547
no_info_cpu_tier,2.9403312765721243,Lasso_target,price,coefficient,2.9403312765721243
cpu_tier_encoded,2.681543241230175,Lasso_target,price,coefficient,2.681543241230175
cpu_family_group_AMD Ryzen,-2.2268150649468397,Lasso_target,price,coefficient,2.2268150649468397
ram_storage_balance,2.1311033527593444,Lasso_target,price,coefficient,2.1311033527593444
warranty_expired,-2.064966502649796,Lasso_target,price,coefficient,2.064966502649796
gpu_tier_ord_filled,2.059125134830044,Lasso_target,price,coefficient,2.059125134830044
ram_storage_product_scaled,-1.7037492916367847,Lasso_target,price,coefficient,1.7037492916367847
warranty_not_activated,1.6804036290961142,Lasso_target,price,coefficient,1.6804036290961142
storage_missing,-1.5466364290419723,Lasso_target,price,coefficient,1.5466364290419723
condition_score,1.4737006528357717,Lasso_target,price,coefficient,1.4737006528357717
cpu_amd_generation_ord,-1.3032810675174422,Lasso_target,price,coefficient,1.3032810675174422
storage_ssd,1.104955878587997,Lasso_target,price,coefficient,1.104955878587997
cpu_intel_generation_ord,-1.0798304306931816,Lasso_target,price,coefficient,1.0798304306931816
no_info_storage,1.032763128283013,Lasso_target,price,coefficient,1.032763128283013
cpu_suffix_power_ord_filled,1.0146314802508287,Lasso_target,price,coefficient,1.0146314802508287
brand_segment_premium,0.9393039183760648,Lasso_target,price,coefficient,0.9393039183760648
model_MacBook Air M1,-0.7285897230988287,Lasso_target,price,coefficient,0.7285897230988287
cpu_brand_Apple,0.6094428511932003,Lasso_target,price,coefficient,0.6094428511932003
