feature,importance,model_name,target_used,importance_type,abs_importance
screen_size_inch,1616,LightGBM_target,price,feature_importance,1616
ram_storage_product_scaled,1235,LightGBM_target,price,feature_importance,1235
cpu_intel_generation_ord,1146,LightGBM_target,price,feature_importance,1146
cpu_tier_encoded,1056,LightGBM_target,price,feature_importance,1056
gpu_tier_ord_filled,852,LightGBM_target,price,feature_importance,852
storage_gb,835,LightGBM_target,price,feature_importance,835
memory_storage_score,815,LightGBM_target,price,feature_importance,815
ram_gb,706,LightGBM_target,price,feature_importance,706
cpu_family_ord_filled,655,LightGBM_target,price,feature_importance,655
cpu_suffix_power_ord_filled,646,LightGBM_target,price,feature_importance,646
brand_segment_business,354,LightGBM_target,price,feature_importance,354
cpu_amd_generation_ord,339,LightGBM_target,price,feature_importance,339
brand_Dell,292,LightGBM_target,price,feature_importance,292
brand_segment_gaming_value,270,LightGBM_target,price,feature_importance,270
no_info_gpu,243,LightGBM_target,price,feature_importance,243
cpu_family_group_Intel Core i,236,LightGBM_target,price,feature_importance,236
ram_storage_balance,218,LightGBM_target,price,feature_importance,218
brand_HP,214,LightGBM_target,price,feature_importance,214
condition_score,206,LightGBM_target,price,feature_importance,206
cpu_brand_Intel,205,LightGBM_target,price,feature_importance,205
brand_Lenovo,194,LightGBM_target,price,feature_importance,194
no_info_model,172,LightGBM_target,price,feature_importance,172
cpu_family_group_Intel Core Ultra,171,LightGBM_target,price,feature_importance,171
no_info_cpu_tier,166,LightGBM_target,price,feature_importance,166
brand_segment_premium,150,LightGBM_target,price,feature_importance,150
brand_ASUS,145,LightGBM_target,price,feature_importance,145
warranty_active,109,LightGBM_target,price,feature_importance,109
cpu_brand_Apple,108,LightGBM_target,price,feature_importance,108
warranty_not_activated,103,LightGBM_target,price,feature_importance,103
cpu_apple_core_spec,96,LightGBM_target,price,feature_importance,96
no_info_brand,77,LightGBM_target,price,feature_importance,77
brand_Acer,77,LightGBM_target,price,feature_importance,77
model_MacBook Pro,70,LightGBM_target,price,feature_importance,70
brand_MSI,69,LightGBM_target,price,feature_importance,69
brand_Apple,68,LightGBM_target,price,feature_importance,68
cpu_brand_AMD,66,LightGBM_target,price,feature_importance,66
storage_hdd,65,LightGBM_target,price,feature_importance,65
model_is_rare,63,LightGBM_target,price,feature_importance,63
is_entry_memory_storage,63,LightGBM_target,price,feature_importance,63
no_info_storage,58,LightGBM_target,price,feature_importance,58
model_XPS 13,48,LightGBM_target,price,feature_importance,48
brand_is_rare,46,LightGBM_target,price,feature_importance,46
model_ThinkPad,41,LightGBM_target,price,feature_importance,41
storage_ssd,41,LightGBM_target,price,feature_importance,41
cpu_family_group_Apple Silicon,38,LightGBM_target,price,feature_importance,38
warranty_expired,37,LightGBM_target,price,feature_importance,37
cpu_family_group_AMD Ryzen,37,LightGBM_target,price,feature_importance,37
brand_Microsoft,37,LightGBM_target,price,feature_importance,37
no_info_cpu_brand,36,LightGBM_target,price,feature_importance,36
model_Legion 5,36,LightGBM_target,price,feature_importance,36
model_TUF Gaming F15,30,LightGBM_target,price,feature_importance,30
model_Precision,30,LightGBM_target,price,feature_importance,30
model_MacBook Air M1,30,LightGBM_target,price,feature_importance,30
model_Gaming Thin GF,29,LightGBM_target,price,feature_importance,29
model_Latitude E Series,28,LightGBM_target,price,feature_importance,28
model_Elitebook,23,LightGBM_target,price,feature_importance,23
model_Nitro 5,19,LightGBM_target,price,feature_importance,19
brand_LG,18,LightGBM_target,price,feature_importance,18
model_MacBook Pro M1,17,LightGBM_target,price,feature_importance,17
model_ThinkPad X1 Carbon,16,LightGBM_target,price,feature_importance,16
model_IdeaPad,16,LightGBM_target,price,feature_importance,16
model_Aspire,15,LightGBM_target,price,feature_importance,15
model_ProBook,14,LightGBM_target,price,feature_importance,14
model_X Series,14,LightGBM_target,price,feature_importance,14
model_ROG Strix,12,LightGBM_target,price,feature_importance,12
model_Macbook air m4,11,LightGBM_target,price,feature_importance,11
model_Vostro,11,LightGBM_target,price,feature_importance,11
model_MacBook Pro M2,9,LightGBM_target,price,feature_importance,9
model_MacBook Air,9,LightGBM_target,price,feature_importance,9
model_Latitude,8,LightGBM_target,price,feature_importance,8
cpu_family_group_Intel Low End,5,LightGBM_target,price,feature_importance,5
model_MacBook Air M2,4,LightGBM_target,price,feature_importance,4
model_Elitebook 800,4,LightGBM_target,price,feature_importance,4
model_TUF Gaming,1,LightGBM_target,price,feature_importance,1
model_Inspiron,1,LightGBM_target,price,feature_importance,1
model_Pavilion 15,0,LightGBM_target,price,feature_importance,0
model_Vivobook 15,0,LightGBM_target,price,feature_importance,0
model_Legion,0,LightGBM_target,price,feature_importance,0
model_Latitude 14 7000,0,LightGBM_target,price,feature_importance,0
cpu_brand_Qualcomm,0,LightGBM_target,price,feature_importance,0
is_mid_memory_storage,0,LightGBM_target,price,feature_importance,0
is_premium_memory_storage,0,LightGBM_target,price,feature_importance,0
screen_missing,0,LightGBM_target,price,feature_importance,0
storage_missing,0,LightGBM_target,price,feature_importance,0
ram_missing,0,LightGBM_target,price,feature_importance,0
brand_segment_rare,0,LightGBM_target,price,feature_importance,0
