feature,importance,model_name,target_used,importance_type,abs_importance
model_is_rare,-3020699657039.7417,Linear Regression_log_target,price,coefficient,3020699657039.7417
no_info_model,-2841472311595.4067,Linear Regression_log_target,price,coefficient,2841472311595.4067
brand_segment_business,2755690742997.8765,Linear Regression_log_target,price,coefficient,2755690742997.8765
brand_segment_gaming_value,2682505853881.969,Linear Regression_log_target,price,coefficient,2682505853881.969
brand_segment_premium,2412171603647.343,Linear Regression_log_target,price,coefficient,2412171603647.343
no_info_brand,1608258601526.732,Linear Regression_log_target,price,coefficient,1608258601526.732
brand_is_rare,1397436830332.0303,Linear Regression_log_target,price,coefficient,1397436830332.0303
model_Latitude,-1311036004318.3967,Linear Regression_log_target,price,coefficient,1311036004318.3967
model_MacBook Pro,-1204099102721.2617,Linear Regression_log_target,price,coefficient,1204099102721.2617
brand_Dell,1100096428427.1719,Linear Regression_log_target,price,coefficient,1100096428427.1719
model_Precision,-934872563382.114,Linear Regression_log_target,price,coefficient,934872563382.114
model_MacBook Air,-919348926690.4146,Linear Regression_log_target,price,coefficient,919348926690.4146
model_Inspiron,-884134803685.0953,Linear Regression_log_target,price,coefficient,884134803685.0953
brand_Lenovo,864659582202.9832,Linear Regression_log_target,price,coefficient,864659582202.9832
warranty_active,-849780745895.0454,Linear Regression_log_target,price,coefficient,849780745895.0454
brand_HP,823328550072.654,Linear Regression_log_target,price,coefficient,823328550072.654
warranty_not_activated,-797607060968.1262,Linear Regression_log_target,price,coefficient,797607060968.1262
model_ThinkPad,-678516892779.4929,Linear Regression_log_target,price,coefficient,678516892779.4929
model_MacBook Pro M1,-651884407044.6924,Linear Regression_log_target,price,coefficient,651884407044.6924
model_Nitro 5,-647333528484.0562,Linear Regression_log_target,price,coefficient,647333528484.0562
model_ProBook,-633474932008.2124,Linear Regression_log_target,price,coefficient,633474932008.2124
model_Elitebook,-628784224346.1567,Linear Regression_log_target,price,coefficient,628784224346.1567
model_MacBook Air M1,-609643569540.6326,Linear Regression_log_target,price,coefficient,609643569540.6326
brand_Apple,582901009949.5938,Linear Regression_log_target,price,coefficient,582901009949.5938
brand_ASUS,525481541676.9757,Linear Regression_log_target,price,coefficient,525481541676.9757
brand_segment_rare,-438558350151.0032,Linear Regression_log_target,price,coefficient,438558350151.0032
warranty_expired,-434908988214.54126,Linear Regression_log_target,price,coefficient,434908988214.54126
brand_Acer,405146772143.8934,Linear Regression_log_target,price,coefficient,405146772143.8934
brand_LG,-387008966197.5001,Linear Regression_log_target,price,coefficient,387008966197.5001
model_Vostro,347646188662.20337,Linear Regression_log_target,price,coefficient,347646188662.20337
brand_MSI,330396422119.1545,Linear Regression_log_target,price,coefficient,330396422119.1545
model_Latitude 14 7000,319786030480.0488,Linear Regression_log_target,price,coefficient,319786030480.0488
brand_Microsoft,311605439469.0155,Linear Regression_log_target,price,coefficient,311605439469.0155
model_Legion 5,309922355841.6178,Linear Regression_log_target,price,coefficient,309922355841.6178
model_ThinkPad X1 Carbon,299723433447.562,Linear Regression_log_target,price,coefficient,299723433447.562
model_Latitude E Series,296243341384.83234,Linear Regression_log_target,price,coefficient,296243341384.83234
model_Macbook air m4,274410012818.0597,Linear Regression_log_target,price,coefficient,274410012818.0597
model_XPS 13,270595245679.19458,Linear Regression_log_target,price,coefficient,270595245679.19458
model_MacBook Air M2,266724572473.1471,Linear Regression_log_target,price,coefficient,266724572473.1471
model_TUF Gaming,262795522917.01703,Linear Regression_log_target,price,coefficient,262795522917.01703
model_Pavilion 15,262795522917.0168,Linear Regression_log_target,price,coefficient,262795522917.0168
model_X Series,262795522917.0009,Linear Regression_log_target,price,coefficient,262795522917.0009
model_TUF Gaming F15,250630459327.3345,Linear Regression_log_target,price,coefficient,250630459327.3345
model_Vivobook 15,246439102734.6147,Linear Regression_log_target,price,coefficient,246439102734.6147
model_Elitebook 800,246439102734.61328,Linear Regression_log_target,price,coefficient,246439102734.61328
model_Gaming Thin GF,246439102734.6109,Linear Regression_log_target,price,coefficient,246439102734.6109
model_Aspire,233404619413.00418,Linear Regression_log_target,price,coefficient,233404619413.00418
model_MacBook Pro M2,224286498341.59796,Linear Regression_log_target,price,coefficient,224286498341.59796
model_IdeaPad,224286498341.58408,Linear Regression_log_target,price,coefficient,224286498341.58408
model_ROG Strix,214774917583.72308,Linear Regression_log_target,price,coefficient,214774917583.72308
model_Legion,199646195821.65802,Linear Regression_log_target,price,coefficient,199646195821.65802
memory_storage_score,0.72705078125,Linear Regression_log_target,price,coefficient,0.72705078125
storage_missing,0.4036010934928911,Linear Regression_log_target,price,coefficient,0.4036010934928911
ram_missing,0.2012719598418475,Linear Regression_log_target,price,coefficient,0.2012719598418475
cpu_family_ord_filled,0.16949462890625,Linear Regression_log_target,price,coefficient,0.16949462890625
cpu_intel_generation_ord,-0.1583251953125,Linear Regression_log_target,price,coefficient,0.1583251953125
no_info_cpu_tier,0.1477629888088809,Linear Regression_log_target,price,coefficient,0.1477629888088809
cpu_family_group_Intel Core i,-0.140869140625,Linear Regression_log_target,price,coefficient,0.140869140625
cpu_amd_generation_ord,-0.1348876953125,Linear Regression_log_target,price,coefficient,0.1348876953125
cpu_brand_AMD,0.125732421875,Linear Regression_log_target,price,coefficient,0.125732421875
cpu_brand_Apple,0.11669921875,Linear Regression_log_target,price,coefficient,0.11669921875
condition_score,0.11237655716013117,Linear Regression_log_target,price,coefficient,0.11237655716013117
cpu_apple_core_spec,-0.107666015625,Linear Regression_log_target,price,coefficient,0.107666015625
cpu_tier_encoded,0.10202707960641094,Linear Regression_log_target,price,coefficient,0.10202707960641094
no_info_storage,0.10182038969906859,Linear Regression_log_target,price,coefficient,0.10182038969906859
cpu_brand_Intel,0.0966796875,Linear Regression_log_target,price,coefficient,0.0966796875
cpu_family_group_AMD Ryzen,-0.096527099609375,Linear Regression_log_target,price,coefficient,0.096527099609375
storage_ssd,0.09567549398157608,Linear Regression_log_target,price,coefficient,0.09567549398157608
ram_gb,-0.09192608146666355,Linear Regression_log_target,price,coefficient,0.09192608146666355
gpu_tier_ord_filled,0.090087890625,Linear Regression_log_target,price,coefficient,0.090087890625
screen_size_inch,0.07533220019285722,Linear Regression_log_target,price,coefficient,0.07533220019285722
ram_storage_balance,0.0533447265625,Linear Regression_log_target,price,coefficient,0.0533447265625
cpu_suffix_power_ord_filled,-0.03514862060546875,Linear Regression_log_target,price,coefficient,0.03514862060546875
cpu_family_group_Intel Low End,-0.03472900390625,Linear Regression_log_target,price,coefficient,0.03472900390625
cpu_family_group_Intel Core Ultra,-0.02935791015625,Linear Regression_log_target,price,coefficient,0.02935791015625
storage_gb,-0.028737796770337443,Linear Regression_log_target,price,coefficient,0.028737796770337443
screen_missing,0.025087548283670075,Linear Regression_log_target,price,coefficient,0.025087548283670075
is_premium_memory_storage,-0.02044677734375,Linear Regression_log_target,price,coefficient,0.02044677734375
cpu_family_group_Apple Silicon,0.01611328125,Linear Regression_log_target,price,coefficient,0.01611328125
cpu_brand_Qualcomm,-0.0126953125,Linear Regression_log_target,price,coefficient,0.0126953125
storage_hdd,-0.012341330609736745,Linear Regression_log_target,price,coefficient,0.012341330609736745
no_info_cpu_brand,0.010100884331590454,Linear Regression_log_target,price,coefficient,0.010100884331590454
no_info_gpu,0.006065454953528254,Linear Regression_log_target,price,coefficient,0.006065454953528254
is_entry_memory_storage,-0.005859375,Linear Regression_log_target,price,coefficient,0.005859375
ram_storage_product_scaled,0.0048828125,Linear Regression_log_target,price,coefficient,0.0048828125
is_mid_memory_storage,-0.0042724609375,Linear Regression_log_target,price,coefficient,0.0042724609375
