feature,importance,model_name,target_used,importance_type,abs_importance
storage_gb,0.20656606643096323,Random Forest_log_target,price,feature_importance,0.20656606643096323
memory_storage_score,0.19166889182021365,Random Forest_log_target,price,feature_importance,0.19166889182021365
condition_score,0.11577528747801828,Random Forest_log_target,price,feature_importance,0.11577528747801828
warranty_not_activated,0.1020445250410768,Random Forest_log_target,price,feature_importance,0.1020445250410768
ram_storage_balance,0.0637027248655977,Random Forest_log_target,price,feature_importance,0.0637027248655977
ram_storage_product_scaled,0.05716722713309107,Random Forest_log_target,price,feature_importance,0.05716722713309107
cpu_family_ord_filled,0.028934027592305244,Random Forest_log_target,price,feature_importance,0.028934027592305244
ram_gb,0.02493246045125816,Random Forest_log_target,price,feature_importance,0.02493246045125816
cpu_tier_encoded,0.021102252861969702,Random Forest_log_target,price,feature_importance,0.021102252861969702
cpu_brand_Apple,0.019906784511712645,Random Forest_log_target,price,feature_importance,0.019906784511712645
screen_size_inch,0.017822229242295207,Random Forest_log_target,price,feature_importance,0.017822229242295207
gpu_tier_ord_filled,0.017406830810494666,Random Forest_log_target,price,feature_importance,0.017406830810494666
cpu_family_group_Apple Silicon,0.013180659761699109,Random Forest_log_target,price,feature_importance,0.013180659761699109
brand_segment_premium,0.009684623686636312,Random Forest_log_target,price,feature_importance,0.009684623686636312
cpu_intel_generation_ord,0.007664812634214021,Random Forest_log_target,price,feature_importance,0.007664812634214021
brand_Lenovo,0.0051745814690600895,Random Forest_log_target,price,feature_importance,0.0051745814690600895
is_mid_memory_storage,0.004552056283512852,Random Forest_log_target,price,feature_importance,0.004552056283512852
brand_Dell,0.004504704242423543,Random Forest_log_target,price,feature_importance,0.004504704242423543
no_info_cpu_tier,0.003723486878230598,Random Forest_log_target,price,feature_importance,0.003723486878230598
no_info_model,0.003719021371581826,Random Forest_log_target,price,feature_importance,0.003719021371581826
brand_HP,0.0036051919227930895,Random Forest_log_target,price,feature_importance,0.0036051919227930895
cpu_family_group_Intel Core i,0.003535907460098829,Random Forest_log_target,price,feature_importance,0.003535907460098829
cpu_suffix_power_ord_filled,0.0035091933602224242,Random Forest_log_target,price,feature_importance,0.0035091933602224242
storage_hdd,0.0034948459536572477,Random Forest_log_target,price,feature_importance,0.0034948459536572477
brand_segment_business,0.0032897257096518653,Random Forest_log_target,price,feature_importance,0.0032897257096518653
model_is_rare,0.0030636353434213607,Random Forest_log_target,price,feature_importance,0.0030636353434213607
no_info_gpu,0.0030336785936227275,Random Forest_log_target,price,feature_importance,0.0030336785936227275
cpu_brand_Intel,0.002856233079527925,Random Forest_log_target,price,feature_importance,0.002856233079527925
storage_ssd,0.002777191601699202,Random Forest_log_target,price,feature_importance,0.002777191601699202
