feature,importance,model_name,target_used,importance_type,abs_importance
ram_storage_product_scaled,0.3538996597196892,Random Forest_target,price,feature_importance,0.3538996597196892
condition_score,0.12531533292571592,Random Forest_target,price,feature_importance,0.12531533292571592
memory_storage_score,0.11687797468726437,Random Forest_target,price,feature_importance,0.11687797468726437
cpu_tier_encoded,0.05190460521167218,Random Forest_target,price,feature_importance,0.05190460521167218
cpu_family_ord_filled,0.04846301005114034,Random Forest_target,price,feature_importance,0.04846301005114034
warranty_not_activated,0.04519882749992068,Random Forest_target,price,feature_importance,0.04519882749992068
ram_storage_balance,0.03687183644002605,Random Forest_target,price,feature_importance,0.03687183644002605
gpu_tier_ord_filled,0.02770548053559659,Random Forest_target,price,feature_importance,0.02770548053559659
screen_size_inch,0.02327898768555918,Random Forest_target,price,feature_importance,0.02327898768555918
ram_gb,0.022557378761978126,Random Forest_target,price,feature_importance,0.022557378761978126
cpu_intel_generation_ord,0.015884194586239044,Random Forest_target,price,feature_importance,0.015884194586239044
storage_gb,0.012985000101626636,Random Forest_target,price,feature_importance,0.012985000101626636
cpu_brand_Apple,0.010140298372079788,Random Forest_target,price,feature_importance,0.010140298372079788
cpu_family_group_Apple Silicon,0.009453365315034443,Random Forest_target,price,feature_importance,0.009453365315034443
cpu_suffix_power_ord_filled,0.008821117910075947,Random Forest_target,price,feature_importance,0.008821117910075947
is_mid_memory_storage,0.008718380024106026,Random Forest_target,price,feature_importance,0.008718380024106026
brand_segment_premium,0.006826116887765218,Random Forest_target,price,feature_importance,0.006826116887765218
brand_Lenovo,0.006311222620497414,Random Forest_target,price,feature_importance,0.006311222620497414
brand_Dell,0.005810185601684775,Random Forest_target,price,feature_importance,0.005810185601684775
brand_segment_business,0.005232999885880306,Random Forest_target,price,feature_importance,0.005232999885880306
brand_HP,0.004743337843783668,Random Forest_target,price,feature_importance,0.004743337843783668
cpu_family_group_Intel Core Ultra,0.004002069586703385,Random Forest_target,price,feature_importance,0.004002069586703385
cpu_family_group_Intel Core i,0.0032013952512118253,Random Forest_target,price,feature_importance,0.0032013952512118253
cpu_amd_generation_ord,0.002836635875851249,Random Forest_target,price,feature_importance,0.002836635875851249
brand_segment_gaming_value,0.0026000114248432684,Random Forest_target,price,feature_importance,0.0026000114248432684
brand_ASUS,0.0025318786882436556,Random Forest_target,price,feature_importance,0.0025318786882436556
warranty_active,0.002157183285825611,Random Forest_target,price,feature_importance,0.002157183285825611
no_info_cpu_brand,0.0020135571106885746,Random Forest_target,price,feature_importance,0.0020135571106885746
brand_Apple,0.002012566605872526,Random Forest_target,price,feature_importance,0.002012566605872526
no_info_gpu,0.0020123778312811837,Random Forest_target,price,feature_importance,0.0020123778312811837
cpu_brand_Intel,0.0018725123497202601,Random Forest_target,price,feature_importance,0.0018725123497202601
no_info_model,0.0017560332527374722,Random Forest_target,price,feature_importance,0.0017560332527374722
brand_MSI,0.0017265549804778852,Random Forest_target,price,feature_importance,0.0017265549804778852
no_info_brand,0.0017044873057932219,Random Forest_target,price,feature_importance,0.0017044873057932219
storage_ssd,0.001702101891616377,Random Forest_target,price,feature_importance,0.001702101891616377
brand_Acer,0.0016849803398654674,Random Forest_target,price,feature_importance,0.0016849803398654674
no_info_cpu_tier,0.001677918082956431,Random Forest_target,price,feature_importance,0.001677918082956431
is_entry_memory_storage,0.0013374428190119838,Random Forest_target,price,feature_importance,0.0013374428190119838
model_is_rare,0.0012818865421715595,Random Forest_target,price,feature_importance,0.0012818865421715595
cpu_brand_AMD,0.0012377743374223631,Random Forest_target,price,feature_importance,0.0012377743374223631
no_info_storage,0.0010116585567457566,Random Forest_target,price,feature_importance,0.0010116585567457566
brand_Microsoft,0.0010011198139425774,Random Forest_target,price,feature_importance,0.0010011198139425774
ram_missing,0.0009136451365301275,Random Forest_target,price,feature_importance,0.0009136451365301275
model_Precision,0.000887380550308633,Random Forest_target,price,feature_importance,0.000887380550308633
cpu_family_group_AMD Ryzen,0.0008381411180576539,Random Forest_target,price,feature_importance,0.0008381411180576539
