feature,importance,model_name,target_used,importance_type,abs_importance
ram_gb,6.0723113460938825,Ridge_target,price,coefficient,6.0723113460938825
memory_storage_score,-5.194586207038167,Ridge_target,price,coefficient,5.194586207038167
storage_gb,5.106614915203367,Ridge_target,price,coefficient,5.106614915203367
cpu_family_ord_filled,4.143117046391064,Ridge_target,price,coefficient,4.143117046391064
cpu_family_group_Intel Core i,-3.756796795723583,Ridge_target,price,coefficient,3.756796795723583
warranty_not_activated,2.9621154142693626,Ridge_target,price,coefficient,2.9621154142693626
no_info_cpu_tier,2.94484823905216,Ridge_target,price,coefficient,2.94484823905216
cpu_tier_encoded,2.6823544634953467,Ridge_target,price,coefficient,2.6823544634953467
cpu_family_group_AMD Ryzen,-2.236360002770598,Ridge_target,price,coefficient,2.236360002770598
ram_storage_balance,2.1781640989236926,Ridge_target,price,coefficient,2.1781640989236926
warranty_active,-2.075023347450032,Ridge_target,price,coefficient,2.075023347450032
gpu_tier_ord_filled,2.061516386350179,Ridge_target,price,coefficient,2.061516386350179
ram_storage_product_scaled,-1.7437641949576588,Ridge_target,price,coefficient,1.7437641949576588
storage_missing,-1.5833174452184946,Ridge_target,price,coefficient,1.5833174452184946
condition_score,1.4725714185811976,Ridge_target,price,coefficient,1.4725714185811976
warranty_expired,-1.3779648112235476,Ridge_target,price,coefficient,1.3779648112235476
cpu_amd_generation_ord,-1.3130817552192593,Ridge_target,price,coefficient,1.3130817552192593
storage_ssd,1.130922205428922,Ridge_target,price,coefficient,1.130922205428922
cpu_intel_generation_ord,-1.098924781342476,Ridge_target,price,coefficient,1.098924781342476
no_info_storage,1.057527539068676,Ridge_target,price,coefficient,1.057527539068676
cpu_suffix_power_ord_filled,1.0155915384432224,Ridge_target,price,coefficient,1.0155915384432224
model_MacBook Air M1,-0.6854461327135006,Ridge_target,price,coefficient,0.6854461327135006
cpu_brand_Apple,0.6293771435993324,Ridge_target,price,coefficient,0.6293771435993324
no_info_gpu,0.5676944517156829,Ridge_target,price,coefficient,0.5676944517156829
no_info_cpu_brand,-0.5068271490841356,Ridge_target,price,coefficient,0.5068271490841356
cpu_family_group_Intel Core Ultra,-0.4973018903340151,Ridge_target,price,coefficient,0.4973018903340151
brand_segment_premium,0.4854848631202066,Ridge_target,price,coefficient,0.4854848631202066
storage_hdd,-0.47952597267261665,Ridge_target,price,coefficient,0.47952597267261665
brand_LG,0.4790405586601188,Ridge_target,price,coefficient,0.4790405586601188
model_MacBook Pro M1,-0.4628246991900937,Ridge_target,price,coefficient,0.4628246991900937
