feature,importance,model_name,target_used,importance_type,abs_importance
brand_segment_business,19348068007389.527,Linear Regression_target,price,coefficient,19348068007389.527
no_info_model,18898460566790.312,Linear Regression_target,price,coefficient,18898460566790.312
brand_segment_premium,16381022178603.773,Linear Regression_target,price,coefficient,16381022178603.773
brand_ASUS,14149931363385.652,Linear Regression_target,price,coefficient,14149931363385.652
warranty_active,12937882841846.873,Linear Regression_target,price,coefficient,12937882841846.873
no_info_brand,12586934537824.96,Linear Regression_target,price,coefficient,12586934537824.96
warranty_not_activated,12143540270233.729,Linear Regression_target,price,coefficient,12143540270233.729
brand_Acer,10909610639487.639,Linear Regression_target,price,coefficient,10909610639487.639
brand_Dell,10589624069857.643,Linear Regression_target,price,coefficient,10589624069857.643
brand_MSI,8896766727094.787,Linear Regression_target,price,coefficient,8896766727094.787
model_Latitude,8719621207690.873,Linear Regression_target,price,coefficient,8719621207690.873
brand_Lenovo,8323288474830.031,Linear Regression_target,price,coefficient,8323288474830.031
model_MacBook Pro,8008390339903.339,Linear Regression_target,price,coefficient,8008390339903.339
brand_segment_gaming_value,7967662596299.734,Linear Regression_target,price,coefficient,7967662596299.734
brand_HP,7925432358430.498,Linear Regression_target,price,coefficient,7925432358430.498
brand_Apple,6819287328887.022,Linear Regression_target,price,coefficient,6819287328887.022
warranty_expired,6621474496293.318,Linear Regression_target,price,coefficient,6621474496293.318
brand_is_rare,6376388642530.154,Linear Regression_target,price,coefficient,6376388642530.154
model_Precision,6217780902510.574,Linear Regression_target,price,coefficient,6217780902510.574
model_MacBook Air,6114534133335.775,Linear Regression_target,price,coefficient,6114534133335.775
model_Inspiron,5880327130053.205,Linear Regression_target,price,coefficient,5880327130053.205
model_ThinkPad,4512774834991.896,Linear Regression_target,price,coefficient,4512774834991.896
model_MacBook Pro M1,4335643782402.7383,Linear Regression_target,price,coefficient,4335643782402.7383
model_Nitro 5,4305376164214.3315,Linear Regression_target,price,coefficient,4305376164214.3315
model_ProBook,4213203476857.123,Linear Regression_target,price,coefficient,4213203476857.123
model_Elitebook,4182005863767.729,Linear Regression_target,price,coefficient,4182005863767.729
model_MacBook Air M1,4054702525779.5947,Linear Regression_target,price,coefficient,4054702525779.5947
model_is_rare,3648406737947.6675,Linear Regression_target,price,coefficient,3648406737947.6675
brand_Microsoft,3645433767848.513,Linear Regression_target,price,coefficient,3645433767848.513
model_Vostro,2790768796348.9395,Linear Regression_target,price,coefficient,2790768796348.9395
brand_LG,-2628172244882.215,Linear Regression_target,price,coefficient,2628172244882.215
model_Latitude 14 7000,2567118249753.4385,Linear Regression_target,price,coefficient,2567118249753.4385
model_Legion 5,2487936494578.3477,Linear Regression_target,price,coefficient,2487936494578.3477
model_ThinkPad X1 Carbon,2406063500419.2744,Linear Regression_target,price,coefficient,2406063500419.2744
model_Latitude E Series,2378126670809.7383,Linear Regression_target,price,coefficient,2378126670809.7383
model_Macbook air m4,2202857175351.8184,Linear Regression_target,price,coefficient,2202857175351.8184
model_XPS 13,2172233704007.705,Linear Regression_target,price,coefficient,2172233704007.705
model_MacBook Air M2,2141161440434.076,Linear Regression_target,price,coefficient,2141161440434.076
model_Pavilion 15,2109620554159.481,Linear Regression_target,price,coefficient,2109620554159.481
model_X Series,2109620554159.3804,Linear Regression_target,price,coefficient,2109620554159.3804
model_TUF Gaming,2109620554159.3247,Linear Regression_target,price,coefficient,2109620554159.3247
model_TUF Gaming F15,2011964140889.4956,Linear Regression_target,price,coefficient,2011964140889.4956
