model_name,model_type,target_used,evaluation_scale,mae,rmse,r2,mape,median_ae,max_error,train_time_sec,predict_time_sec
CatBoost,gradient_boosting,target_price,target_price,3.2820899750114747,5.313574561402567,0.8938679766682358,0.2896714410985555,1.9462857283077193,36.205810597040966,2.1260836999863386,0.005600900040008128
LightGBM,gradient_boosting,target_price,target_price,3.2282182193286975,5.360098608407447,0.892001320748292,0.2742093281484474,1.8418534101590613,33.90058505934267,1.4958238000399433,0.02336920000379905
LightGBM,gradient_boosting,log_target_price,target_price,3.1921188149934183,5.406747413962156,0.890113321070016,0.25281898215718096,1.7387543388473214,34.14284815031888,0.866895499988459,0.016322600014973432
Random Forest,tree_ensemble,target_price,target_price,3.3772253763624005,5.659632895335783,0.8795936448462943,0.2910534367087497,1.886445357310472,45.28873388888883,1.7630787000525743,0.09880190005060285
CatBoost,gradient_boosting,log_target_price,target_price,3.2639763776213173,5.699229643031311,0.8779029421476837,0.25320728967308,1.7070000092995394,44.704819753340246,1.9075853999820538,0.003346499986946583
Random Forest,tree_ensemble,log_target_price,target_price,3.3306116284276506,5.727205597149081,0.8767013182545361,0.2676081482931505,1.8324012535374343,53.00411587849334,1.5659912999835797,0.07250949996523559
Extra Trees,tree_ensemble,target_price,target_price,3.5385503451046696,6.099129243994825,0.8601673595589291,0.30122200922836156,2.0345150000000194,62.361909999999995,2.774792600015644,0.16056739998748526
Extra Trees,tree_ensemble,log_target_price,target_price,3.5130094240591387,6.123089036712581,0.8590665657512306,0.2869968779072109,1.8988928167168844,60.12167989476592,3.2287405999959446,0.14890179998474196
Linear Regression,linear,target_price,target_price,4.1892557062232445,6.708475902193348,0.8308310655603007,0.3875067936958574,2.5250781250000003,54.54561027781756,0.5690842000185512,0.012115499994251877
Ridge,linear,target_price,target_price,4.18987266503759,6.711878406400973,0.8306594188286769,0.38802906608237375,2.5116691508237103,54.65555783945621,0.0650686000008136,0.007999899971764535
Lasso,linear,target_price,target_price,4.189177317290273,6.7126919569041075,0.8306183646092513,0.3877798301847624,2.5069355404449682,54.65426798934317,6.024397500033956,0.005353400018066168
ElasticNet,linear,target_price,target_price,4.188016743225647,6.7140959819560155,0.8305475015540943,0.3873687854420687,2.512400633779014,54.65723236291551,5.356349500012584,0.001953599974513054
Lasso,linear,log_target_price,target_price,3.9789584023377307,7.021788769890677,0.814660320648908,0.3025208897511775,2.112102165205548,80.91651375347466,1.6982251000008546,0.012516899965703487
ElasticNet,linear,log_target_price,target_price,3.984307437002156,7.104901610285612,0.8102468378635226,0.3017434636330047,2.0957728299635816,84.97928548953057,0.42513730004429817,0.0018034999957308173
Ridge,linear,log_target_price,target_price,3.9932538090068994,7.274935275486983,0.8010558591161228,0.3000330047567232,2.11994089368375,93.93172265999674,0.07028569997055456,0.004488300008233637
Linear Regression,linear,log_target_price,target_price,4.010306931699316,7.311260182746007,0.7990641797286526,0.3005940423743706,2.133566189362115,93.9838632052617,0.4169197999872267,0.009871199959889054
